Date,PPO,SIGNAL,HISTO
2022-10-28,0.0,0.0,0.0
2022-10-31,0.019482222534621597,0.010823456963678665,0.008658765570942932
2022-11-01,0.005744552258746104,0.008741938641984992,-0.002997386383238888
2022-11-02,-5.401802024498686e-05,0.005762278526053428,-0.005816296546298415
2022-11-03,-0.025227634146953858,-0.0034565198654884803,-0.021771114281465376
2022-11-04,-0.07750737748603906,-0.023528419428696087,-0.05397895805734297
2022-11-07,-0.12038862407685166,-0.04804115323001823,-0.07234747084683343
2022-11-08,-0.10738959151687963,-0.062303698997980377,-0.04508589251889925
2022-11-09,-0.10438396700008937,-0.07202444966775362,-0.03235951733233575
2022-11-10,-0.18854623734165402,-0.09813209418719898,-0.09041414315445503
2022-11-11,-0.19641099703917153,-0.1196349565718421,-0.07677604046732943
2022-11-14,-0.2713744925356951,-0.15222224518645383,-0.11915224734924129
2022-11-15,-0.3508863947306122,-0.19426648142663766,-0.15661991330397457
2022-11-16,-0.3455478498733346,-0.2259146565790979,-0.11963319329423669
2022-11-17,-0.3106950448199058,-0.24348907925389598,-0.0672059655660098
2022-11-18,-0.253995190424954,-0.24565115861179881,-0.008344031813155184
2022-11-21,-0.19149840496958664,-0.2345711073087583,0.043072702339171653
2022-11-22,-0.13823347364484173,-0.21495012029679209,0.07671664665195035
2022-11-23,-0.1085446331438886,-0.1933578453902979,0.08481321224640931
2022-11-24,-0.05797389574009793,-0.16596524022463088,0.10799134448453296
2022-11-25,0.02088282574504904,-0.12824774453565702,0.14913057028070606
2022-11-28,0.07825839935791956,-0.08663950110980842,0.16489790046772798
2022-11-29,0.07791937488036264,-0.05353229546391969,0.13145167034428235
2022-11-30,0.1089124243123066,-0.020889198843296125,0.12980162315560273
2022-12-01,0.1302935814545246,0.009462020882465737,0.12083156057205886
2022-12-02,0.19546759786607096,0.04677591059093383,0.14869168727513712
2022-12-05,0.2662891724825134,0.0907849703465207,0.1755042021359927
2022-12-06,0.30214759978928757,0.1331394216587011,0.16900817813058647
2022-12-07,0.28841294425157316,0.164242255481431,0.12417068877014215
2022-12-08,0.30918020466714546,0.19326577469508946,0.115914429972056
2022-12-09,0.30059512391697213,0.21475292438180785,0.08584219953516428
2022-12-12,0.28557107233849766,0.2289277844543202,0.05664328788417747
2022-12-13,0.29532278710062926,0.2422152068880938,0.05310758021253545
2022-12-14,0.2974934572463477,0.25327646568428547,0.04421699156206221
2022-12-15,0.29600341991610923,0.26182532435971617,0.03417809555639306
2022-12-16,0.1798094282688176,0.24541682027752404,-0.06560739200870644
2022-12-19,0.12358278399174395,0.22104368539278335,-0.0974609014010394
2022-12-20,0.024870246382571737,0.1818008471721165,-0.15693060078954477
2022-12-21,-0.050380131084724444,0.1353569347021622,-0.18573706578688665
2022-12-22,-0.17652133944303702,0.07297298762422799,-0.24949432706726501
2022-12-23,-0.2609411719789582,0.00618305337955599,-0.2671242253585142
2022-12-26,-0.2906514227264631,-0.05318889264822858,-0.23746253007823453
2022-12-27,-0.3093434007865126,-0.10442328110767993,-0.2049201196788327
2022-12-28,-0.3768633394483109,-0.15891425954686517,-0.21794907990144574
2022-12-29,-0.437275439766401,-0.21458892056426718,-0.2226865192021338
2022-12-30,-0.502869772279789,-0.2722471000016969,-0.23062267227809213
2023-01-02,-0.5091503377218514,-0.31962906836223204,-0.18952126935961933
2023-01-03,-0.5337168798001617,-0.3624475855346592,-0.17126929426550247
2023-01-04,-0.5065152881033972,-0.3912616401083182,-0.11525364799507898
2023-01-05,-0.47671405178580295,-0.40835236637081135,-0.0683616854149916
2023-01-06,-0.4881635810510958,-0.4243147915655446,-0.06384878948555123
2023-01-09,-0.43548916015604033,-0.4265496856980277,-0.00893947445801263
2023-01-10,-0.3958322618133409,-0.42040615602719694,0.02457389421385603
2023-01-11,-0.36627470959978065,-0.40957980345078565,0.043305093851005005
2023-01-12,-0.2643808916005297,-0.3805398852666929,0.11615899366616322
2023-01-13,-0.17487030428303568,-0.3394058151691338,0.16453551088609814
2023-01-16,-0.10091704893448912,-0.2917079191549921,0.190790870220503
2023-01-17,-0.06527776578634882,-0.24642178004250367,0.18114401425615484
2023-01-18,-0.016717889260868733,-0.20048091388096104,0.1837630246200923
2023-01-19,0.009923429184770825,-0.15839998077897233,0.16832340996374315
2023-01-20,0.057307006657494206,-0.11525853040041477,0.17256553705790897
2023-01-23,0.13975067279586423,-0.06425663973865016,0.20400731253451437
2023-01-24,0.20094060782551343,-0.011217148609032229,0.21215775643454565
2023-01-25,0.21831074415816026,0.03468845875982303,0.18362228539833725
2023-01-26,0.23751646000056537,0.07525407937873368,0.16226238062183168
2023-01-27,0.2780666294704475,0.11581660569244313,0.1622500237780044
2023-01-30,0.3042867302660485,0.15351064272156065,0.15077608754448787
2023-01-31,0.327800256768724,0.18836857449331917,0.1394316822754048
2023-02-01,0.23714121053333378,0.19812310370771238,0.0390181068256214
2023-02-02,0.13640217772785032,0.18577891648049835,-0.04937673875264803
2023-02-03,0.0010725069514517511,0.1488376297117246,-0.14776512276027284
2023-02-06,-0.10736380298376626,0.09759733777639384,-0.2049611407601601
2023-02-07,-0.18986200636333606,0.0401054641047671,-0.22996747046810315
2023-02-08,-0.2888081157952615,-0.025677256308985187,-0.2631308594862763
2023-02-09,-0.3578726794344803,-0.09211634451647273,-0.2657563349180076
2023-02-10,-0.3680442025978605,-0.1473019185132305,-0.22074228408463004
2023-02-13,-0.3990489593317065,-0.19765132841441996,-0.20139763091728652
2023-02-14,-0.3961249581165259,-0.2373460554506929,-0.15877890266583303
2023-02-15,-0.3513843558541273,-0.26015371603510035,-0.09123063981902696
2023-02-16,-0.38613018203102983,-0.28534900967944854,-0.1007811723515813
2023-02-17,-0.4247093962365213,-0.3132210873848287,-0.11148830885169264
2023-02-20,-0.42259540388481387,-0.3350959509321827,-0.08749945295263117
2023-02-21,-0.4283547208122132,-0.3537477050769174,-0.07460701573529582
2023-02-22,-0.34446446759194316,-0.3518910575664859,0.007426589974542763
2023-02-23,-0.2853736271998441,-0.33858757141613566,0.05321394421629155
2023-02-24,-0.2334061876478481,-0.3175512945650448,0.08414510691719668
2023-02-27,-0.17978157428346875,-0.28999735040663266,0.11021577612316391
2023-02-28,-0.10079971951855499,-0.25215782411685034,0.15135810459829535
2023-03-01,-0.0017413338742172423,-0.20207452594955508,0.20033319207533784
2023-03-02,0.050523998223070146,-0.1515548210191872,0.20207881924225735
2023-03-03,0.06065018312554039,-0.10911382012582857,0.16976400325136895
2023-03-06,0.07625554455721213,-0.07203994714420654,0.14829549170141867
2023-03-07,0.03164970392753598,-0.05130201690971458,0.08295172083725055
2023-03-08,-0.036064906427610996,-0.048254594810925804,0.012189688383314808
2023-03-09,-0.08450152086808035,-0.05550398002686332,-0.028997540841217036
2023-03-10,-0.14217497118606118,-0.07283817826732358,-0.0693367929187376
2023-03-13,-0.20627094542856575,-0.09952473171018948,-0.10674621371837627
2023-03-14,-0.24731152409926843,-0.12908209019741299,-0.11822943390185545
2023-03-15,-0.2689231724238484,-0.15705030664982159,-0.1118728657740268
2023-03-16,-0.19468094744583628,-0.16457643481055761,-0.030104512635278663
2023-03-17,-0.12284122412766407,-0.15622939267261865,0.03338816854495458
2023-03-20,-0.03528062375645764,-0.13203963888623282,0.0967590151297752
2023-03-21,0.11237784922812687,-0.08315614125826253,0.1955339904863894
2023-03-22,0.12619539334722762,-0.04128583433367098,0.1674812276808986
2023-03-23,0.1298950777386142,-0.0070496519169287045,0.1369447296555429
2023-03-24,0.13109559304062587,0.02057939707605759,0.11051619596456828
2023-03-27,0.1277006519051051,0.04200364804278233,0.08569700386232276
2023-03-28,0.12415115301978003,0.05843314903874336,0.06571800398103667
2023-03-29,0.1889263830566983,0.0845317958430479,0.10439458721365039
2023-03-30,0.20663833300796491,0.10895310327656546,0.09768522973139945
2023-03-31,0.2238684182478002,0.13193616627121457,0.09193225197658564
2023-04-03,0.2058584514933179,0.1467206233158422,0.059137828177475704
2023-04-04,0.23573046966431319,0.1645225925857358,0.0712078770785774
2023-04-05,0.24382728877575285,0.1803835318238813,0.06344375695187154
2023-04-06,0.22935830296179532,0.19017848605153434,0.039179816910260984
2023-04-07,0.1828944789644922,0.18872168463411756,-0.005827205669625357
2023-04-10,0.1389554701421698,0.17876844173568238,-0.039812971593512575
2023-04-11,0.11744641672382561,0.16650403673326603,-0.04905762000944042
2023-04-12,0.07327828876436362,0.14785888713943082,-0.0745805983750672
2023-04-13,0.013662470522940787,0.12101960381606977,-0.10735713329312899
2023-04-14,-0.07269403504102011,0.082276876044579,-0.15497091108559913
2023-04-17,-0.16750463401129134,0.03232057403332985,-0.1998252080446212
2023-04-18,-0.2233744280975858,-0.01881842639291476,-0.20455600170467103
2023-04-19,-0.25499339835881246,-0.06605342078613972,-0.18893997757267272
2023-04-20,-0.2622892878488444,-0.10530059419871086,-0.15698869365013357
2023-04-21,-0.3018606186036615,-0.14461259907972515,-0.15724801952393633
2023-04-24,-0.32864002512890694,-0.18141808428957962,-0.14722194083932733
2023-04-25,-0.3565891376737339,-0.21645229496642424,-0.14013684270730967
2023-04-26,-0.3863009679267866,-0.2504220295585074,-0.1358789383682792
2023-04-27,-0.37752390037718075,-0.27584240372224844,-0.10168149665493231
2023-04-28,-0.32317149203734896,-0.28530822138527046,-0.03786327065207851
2023-05-01,-0.22990279864377092,-0.27422713683696875,0.04432433819319784
2023-05-02,-0.19183916590967054,-0.257749542651507,0.06591037674183647
2023-05-03,-0.1978607162678273,-0.24577177737476985,0.04791106110694254
2023-05-04,-0.2220852352217156,-0.24103446894415861,0.018949233722443004
2023-05-05,-0.20878749008584216,-0.2345850731724949,0.025797583086652753
2023-05-08,-0.11446276997733298,-0.21056061253346126,0.09609784255612827
2023-05-09,-0.06288922615681952,-0.18102633525813164,0.11813710910131212
2023-05-10,-0.010942572037231403,-0.14700958261395042,0.13606701057671902
2023-05-11,0.023719568415075144,-0.1128637524081444,0.13658332082321956
2023-05-12,0.019082829058206234,-0.08647443611487371,0.10555726517307995
2023-05-15,0.014234259817284586,-0.06633269692844171,0.0805669567457263
2023-05-16,0.03273142223782835,-0.046519873095187424,0.07925129533301578
2023-05-17,0.028955294558258547,-0.03142483956449806,0.06038013412275661
2023-05-18,0.04391251489065173,-0.016357368673467976,0.060269883564119706
2023-05-19,0.06609556531371628,0.00013321812396898758,0.06596234718974729
2023-05-22,0.05522155410970697,0.011150885321116643,0.044070668788590325
2023-05-23,0.02947104246329489,0.014814916749552308,0.014656125713742583
2023-05-24,0.02499182535190287,0.016850298470022427,0.008141526881880443
2023-05-25,0.016707584378074493,0.016821755651632842,-0.0001141712735583493
2023-05-26,-0.017424013004903635,0.009972601920325532,-0.027396614925229167
2023-05-29,-0.01872890026669862,0.004232301482920692,-0.02296120174961931
2023-05-30,-0.028882251120613437,-0.0023906090377861433,-0.026491642082827293
2023-05-31,0.018115759618140923,0.0017106646933992742,0.01640509492474165
2023-06-01,0.1120805443052173,0.023784640615762895,0.0882959036894544
2023-06-02,0.19614491849044646,0.058256696190699626,0.13788822229974684
2023-06-05,0.23451511073862238,0.09350837910028419,0.1410067316383382
2023-06-06,0.2302891489004851,0.12086453306032438,0.10942461584016072
2023-06-07,0.2310131914141813,0.1428942647310958,0.08811892668308552
2023-06-08,0.2615389385808384,0.16662319950104434,0.09491573907979403
2023-06-09,0.26167738565510484,0.18563403673185647,0.07604334892324838
2023-06-12,0.3108760440886134,0.21068243820320787,0.10019360588540555
2023-06-13,0.3506584663701708,0.23867764383660045,0.11198082253357033
2023-06-14,0.40780246836676315,0.272502608742633,0.13529985962413016
2023-06-15,0.44144091636615657,0.30629027026733774,0.13515064609881883
2023-06-16,0.4590778186038414,0.3368477799346385,0.1222300386692029
2023-06-19,0.522704144691118,0.37401905288593446,0.14868509180518358
2023-06-20,0.5558679355141266,0.4103888294115729,0.1454791061025537
2023-06-21,0.5737739334607436,0.4430658502214071,0.13070808323933647
2023-06-22,0.5351464781460569,0.4614819758063371,0.07366450233971977
2023-06-23,0.5087272297205754,0.47093102658918473,0.03779620313139065
2023-06-26,0.4786446766027584,0.47247375659189955,0.006170920010858838
2023-06-27,0.4359550409415678,0.46517001346183323,-0.029214972520265448
2023-06-28,0.40251638661754124,0.4526392880929749,-0.050122901475433634
2023-06-29,0.33297845915830704,0.42870712230604135,-0.09572866314773432
2023-06-30,0.27960802927287154,0.3988873036994074,-0.11927927442653585
2023-07-03,0.2490588741531245,0.36892161779015087,-0.11986274363702637
2023-07-04,0.2279000065579138,0.3407172955437035,-0.11281728898578972
2023-07-05,0.23039873809853179,0.31865358405466915,-0.08825484595613736
2023-07-06,0.23918193747011143,0.3027592547377576,-0.06357731726764618
2023-07-07,0.23792423167357155,0.2897922501249204,-0.051868018451348835
2023-07-10,0.23814032936025922,0.2794618659719882,-0.041321536611728965
2023-07-11,0.21723561383385862,0.2670166155443623,-0.049781001710503675
2023-07-12,0.1817075275251668,0.24995479794052317,-0.06824727041535636
2023-07-13,0.08124121268317894,0.2162120808890543,-0.13497086820587537
2023-07-14,0.012961941199002479,0.17556205295104393,-0.16260011175204145
2023-07-17,-0.03721685543546078,0.13300627127374298,-0.17022312670920375
2023-07-18,-0.10359964467503192,0.08568508808398799,-0.1892847327590199
2023-07-19,-0.20246406979964401,0.028055256507261577,-0.23051932630690558
2023-07-20,-0.3326062379345391,-0.04407704238109858,-0.2885291955534405
2023-07-21,-0.39413464870277626,-0.11408856364543415,-0.2800460850573421
2023-07-24,-0.45020731221560106,-0.18131231335946757,-0.2688949988561335
2023-07-25,-0.4810620938566319,-0.24126226945890047,-0.23979982439773143
2023-07-26,-0.4997847387287535,-0.29296676331287114,-0.20681797541588237
2023-07-27,-0.514677500535313,-0.3373089107573595,-0.1773685897779535
2023-07-28,-0.5381631069058668,-0.377479749987061,-0.16068335691880575
2023-07-31,-0.5021700475807441,-0.4024178095057977,-0.09975223807494643
2023-08-01,-0.46368950329106207,-0.4146721482628506,-0.04901735502821147
2023-08-02,-0.44387447182041156,-0.4205126129743629,-0.02336185884604869
2023-08-03,-0.4270147935634376,-0.4218130490921778,-0.005201744471259762
2023-08-04,-0.43979105175584193,-0.42540864962491065,-0.014382402130931282
2023-08-07,-0.4254847761017197,-0.42542387492027245,-6.090118144724821e-05
2023-08-08,-0.399370857687688,-0.4202132714737556,0.020842413786067604
2023-08-09,-0.37500783770747853,-0.4111721847205002,0.03616434701302168
2023-08-10,-0.35315129134909623,-0.39956800604621945,0.04641671469712322
2023-08-11,-0.3645324089375528,-0.3925608866244862,0.028028477686933395
2023-08-14,-0.35559909889604147,-0.3851685290787973,0.029569430182755818
2023-08-15,-0.33819446536524517,-0.3757737163360869,0.03757925097084175
2023-08-16,-0.3045415592428357,-0.36152728491743674,0.05698572567460103
2023-08-17,-0.24481363898069927,-0.33818455573008926,0.09337091674938999
2023-08-18,-0.19902197727083246,-0.3103520400382379,0.11133006276740545
2023-08-21,-0.1284656454740473,-0.2739747611253998,0.14550911565135252
2023-08-22,-0.09450985923194574,-0.238081780746709,0.14357192151476325
