Date,PPO,SIGNAL,HISTO
2022-10-28,0.0,0.0,0.0
2022-10-31,0.013481322706494072,0.00748962372583004,0.005991698980664032
2022-11-01,0.03269062764701945,0.017817904021399468,0.014872723625619984
2022-11-02,0.03441505605608215,0.02344024549656298,0.010974810559519172
2022-11-03,0.04886042631888574,0.03100217458459331,0.01785825173429243
2022-11-04,0.09977581543278789,0.049643654994915805,0.05013216043787209
2022-11-07,0.055410545352080225,0.05110310109767886,0.004307444254401362
2022-11-08,-0.012664505437925083,0.03577854609706655,-0.048443051534991635
2022-11-09,-0.08186514348662467,0.008602270169880277,-0.09046741365650494
2022-11-10,-0.13490027784838227,-0.023550630897690755,-0.11134964695069151
2022-11-11,-0.27183422931587653,-0.07787366355497984,-0.1939605657608967
2022-11-14,-0.4865998444235822,-0.16565090589138726,-0.3209489385321949
2022-11-15,-0.6463444303341626,-0.2673823564181786,-0.37896207391598397
2022-11-16,-0.760664956255328,-0.37057744435002576,-0.3900875119053023
2022-11-17,-0.8290554136507552,-0.4656169433045228,-0.3634384703462324
2022-11-18,-0.8184996302136575,-0.5382375695957534,-0.28026206061790404
2022-11-21,-0.7962216515106937,-0.59102300839119,-0.20519864311950364
2022-11-22,-0.7358433277831365,-0.6205184142651926,-0.11532491351794394
2022-11-23,-0.7297085762084535,-0.6426757677706144,-0.08703280843783912
2022-11-24,-0.787283900779922,-0.6719347272078521,-0.11534917357206997
2022-11-25,-0.8041725474423589,-0.6986284978322891,-0.1055440496100698
2022-11-28,-0.7795752624719045,-0.7149381950846659,-0.06463706738723851
2022-11-29,-0.7412412782979391,-0.7202300493211689,-0.021011228976770213
2022-11-30,-0.6628230466648612,-0.7086941721502047,0.045871125485343445
2022-12-01,-0.6702815417134275,-0.7009825122354022,0.030700970521974735
2022-12-02,-0.7238174513022656,-0.7055633447655775,-0.01825410653668813
2022-12-05,-0.7569326033654592,-0.7158620973413512,-0.041070506024108
2022-12-06,-0.7298887683397043,-0.7186728683628792,-0.011215899976825039
2022-12-07,-0.7024076600671552,-0.7154147850640257,0.013007124996870512
2022-12-08,-0.6863817162875698,-0.7096009741594349,0.023219257871865073
2022-12-09,-0.7001729348281626,-0.7077134970263674,0.00754056219820487
2022-12-12,-0.7097893591808717,-0.7081289986515711,-0.0016603605293006307
2022-12-13,-0.703330142536298,-0.7071686187154153,0.003838476179117256
2022-12-14,-0.743836064524029,-0.7145058282843837,-0.029330236239645258
2022-12-15,-0.804167640945403,-0.7324454679990042,-0.07172217294639882
2022-12-16,-0.815988554363307,-0.7491595092883698,-0.06682904507493714
2022-12-19,-0.7599313837135486,-0.7513144436263454,-0.008616940087203262
2022-12-20,-0.7548075118740365,-0.7520132024024035,-0.0027943094716329497
2022-12-21,-0.7629472527732286,-0.7542003758830963,-0.008746876890132316
2022-12-22,-0.7597954829000847,-0.7553195460497256,-0.004475936850359075
2022-12-23,-0.7100487490656017,-0.7462644237471353,0.03621567468153364
2022-12-26,-0.6474654917835034,-0.7265029562346742,0.07903746445117077
2022-12-27,-0.5982351610005426,-0.7008476511782621,0.10261249017771945
2022-12-28,-0.5761383237113911,-0.6759044276466251,0.099766103935234
2022-12-29,-0.5646603755248083,-0.6536546481076831,0.08899427258287484
