Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,11147.669922,11199.190430,11115.370117,11162.160156,11162.160156,78928100
2022-11-29,11160.089844,11176.969727,11071.559570,11077.809570,11077.809570,90091000
2022-11-30,11143.070313,11204.879883,11127.769531,11127.769531,11127.769531,122259800
2022-12-01,11215.500000,11283.870117,11207.559570,11238.200195,11238.200195,95237300
2022-12-02,11206.530273,11234.250000,11122.679688,11198.129883,11198.129883,113722400
2022-12-05,11196.469727,11239.759766,11170.929688,11194.669922,11194.669922,107446800
2022-12-06,11185.679688,11208.110352,11085.280273,11109.330078,11109.330078,106876000
2022-12-07,11062.089844,11077.769531,11000.639648,11009.950195,11009.950195,45713800
2022-12-08,11022.160156,11035.959961,10940.269531,11004.530273,11004.530273,44413700
2022-12-09,11010.700195,11101.330078,10980.799805,11068.299805,11068.299805,68181300
2022-12-12,11037.360352,11050.299805,10989.769531,11033.639648,11033.639648,46639700
2022-12-13,11070.620117,11223.469727,11014.160156,11136.620117,11136.620117,53410800
2022-12-14,11110.089844,11175.450195,11079.519531,11160.690430,11160.690430,55328400
2022-12-15,11093.139648,11093.139648,10880.139648,10880.139648,10880.139648,63403900
2022-12-16,10895.400391,10913.650391,10746.370117,10770.379883,10770.379883,118069500
2022-12-19,10790.240234,10837.940430,10760.269531,10773.230469,10773.230469,43017000
2022-12-20,10696.580078,10728.769531,10659.190430,10659.190430,10659.190430,50578100
2022-12-21,10699.070313,10845.589844,10690.969727,10845.589844,10845.589844,37099700
2022-12-22,10850.660156,10890.429688,10760.440430,10774.639648,10774.639648,34749600
2022-12-23,10804.299805,10843.730469,10761.290039,10804.679688,10804.679688,29382200
2022-12-27,10834.139648,10876.379883,10817.480469,10839.219727,10839.219727,21239100
2022-12-28,10825.660156,10854.900391,10803.099609,10812.669922,10812.669922,27529400
2022-12-29,10744.019531,10869.900391,10737.900391,10857.349609,10857.349609,25220400
2022-12-30,10809.160156,10830.360352,10729.400391,10729.400391,10729.400391,32554800
2023-01-03,10853.910156,11004.459961,10822.759766,10978.639648,10978.639648,53477000
2023-01-04,11020.740234,11140.269531,11015.910156,11140.269531,11140.269531,51905200
2023-01-05,11093.610352,11112.500000,11048.089844,11057.389648,11057.389648,44809600
2023-01-06,11068.620117,11147.870117,11048.139648,11144.540039,11144.540039,34820400
2023-01-09,11171.419922,11234.129883,11152.040039,11212.570313,11212.570313,50371400
2023-01-10,11123.580078,11180.509766,11108.179688,11162.150391,11162.150391,38955600
2023-01-11,11174.080078,11306.309570,11124.919922,11246.009766,11246.009766,60814400
2023-01-12,11304.080078,11328.799805,11247.959961,11287.820313,11287.820313,56215100
2023-01-13,11307.410156,11342.599609,11251.259766,11290.790039,11290.790039,49351000
2023-01-16,11318.519531,11435.990234,11307.969727,11435.990234,11435.990234,39913400
2023-01-17,11417.530273,11453.639648,11376.309570,11401.990234,11401.990234,44164600
2023-01-18,11381.200195,11423.070313,11352.879883,11366.620117,11366.620117,53384300
2023-01-19,11314.209961,11372.580078,11258.969727,11258.969727,11258.969727,65186500
2023-01-20,11294.719727,11320.379883,11274.429688,11295.019531,11295.019531,45428800
2023-01-23,11319.580078,11406.900391,11290.900391,11406.269531,11406.269531,43970700
2023-01-24,11413.750000,11436.790039,11368.809570,11406.290039,11406.290039,53570100
2023-01-25,11386.570313,11404.769531,11327.929688,11404.769531,11404.769531,39768900
2023-01-26,11425.410156,11441.099609,11317.559570,11317.559570,11317.559570,55353900
2023-01-27,11339.599609,11359.459961,11296.150391,11332.299805,11332.299805,50188000
2023-01-30,11296.530273,11397.530273,11287.929688,11379.639648,11379.639648,46419800
2023-01-31,11358.750000,11358.750000,11238.809570,11285.780273,11285.780273,58609100
2023-02-01,11299.530273,11301.309570,11180.259766,11200.929688,11200.929688,54008700
2023-02-02,11224.080078,11279.809570,11146.450195,11188.419922,11188.419922,76600100
2023-02-03,11192.709961,11355.450195,11181.959961,11349.389648,11349.389648,54123700
2023-02-06,11305.509766,11307.480469,11229.480469,11283.250000,11283.250000,48616300
2023-02-07,11290.259766,11304.700195,11217.179688,11233.870117,11233.870117,40579800
2023-02-08,11358.639648,11361.730469,11271.450195,11276.280273,11276.280273,51978000
2023-02-09,11313.610352,11336.219727,11215.719727,11217.730469,11217.730469,152370300
2023-02-10,11146.509766,11172.179688,11034.480469,11130.459961,11130.459961,76230900
2023-02-13,11144.950195,11214.519531,11141.389648,11209.339844,11209.339844,49707100
2023-02-14,11233.169922,11308.910156,11216.639648,11231.910156,11231.910156,47972400
2023-02-15,11206.110352,11285.370117,11195.099609,11272.669922,11272.669922,40602300
2023-02-16,11309.839844,11320.540039,11154.110352,11194.910156,11194.910156,56282900
2023-02-17,11153.280273,11277.379883,11116.709961,11256.290039,11256.290039,47402000
2023-02-20,11286.280273,11291.700195,11247.400391,11266.679688,11266.679688,36165500
2023-02-21,11251.549805,11292.719727,11164.099609,11282.160156,11282.160156,76330800
2023-02-22,11266.650391,11333.849609,11197.769531,11300.290039,11300.290039,43328700
2023-02-23,11317.120117,11320.099609,11246.679688,11247.750000,11247.750000,43815800
2023-02-24,11297.500000,11315.179688,11141.679688,11181.769531,11181.769531,37136700
2023-02-27,11215.620117,11272.690430,11215.620117,11219.929688,11219.929688,44258900
2023-02-28,11183.250000,11220.150391,11098.349609,11098.349609,11098.349609,63103000
2023-03-01,11091.900391,11141.120117,11040.230469,11056.080078,11056.080078,47473100
2023-03-02,11005.219727,11168.830078,10994.160156,11165.580078,11165.580078,83241100
2023-03-03,11192.669922,11194.410156,11134.809570,11190.089844,11190.089844,59691300
2023-03-06,11173.400391,11203.669922,11137.940430,11147.250000,11147.250000,43899800
2023-03-07,11122.049805,11181.679688,11064.080078,11064.080078,11064.080078,39636500
2023-03-08,11016.849609,11044.820313,10995.919922,11025.259766,11025.259766,44628100
2023-03-09,10963.870117,10975.389648,10908.339844,10948.849609,10948.849609,58798000
2023-03-10,10860.730469,10880.769531,10720.080078,10765.259766,10765.259766,102111500
2023-03-13,10735.780273,10739.620117,10538.349609,10632.049805,10632.049805,170957400
2023-03-14,10643.379883,10728.660156,10593.549805,10716.719727,10716.719727,119290900
2023-03-15,10716.780273,10720.780273,10460.339844,10516.400391,10516.400391,360982800
2023-03-16,10609.700195,10719.099609,10524.370117,10719.099609,10719.099609,279318100
2023-03-17,10783.759766,10794.330078,10566.900391,10613.549805,10613.549805,251684700
2023-03-20,10571.089844,10689.759766,10395.330078,10643.639648,10643.639648,416073200
2023-03-21,10740.360352,10814.480469,10731.900391,10792.580078,10792.580078,162338900
2023-03-22,10788.610352,10846.700195,10763.410156,10782.280273,10782.280273,106037900
2023-03-23,10723.730469,10729.209961,10653.959961,10718.540039,10718.540039,80655900
2023-03-24,10655.179688,10669.040039,10561.629883,10634.040039,10634.040039,100791100
2023-03-27,10785.280273,10817.719727,10722.969727,10786.219727,10786.219727,63069300
2023-03-28,10835.830078,10857.610352,10804.759766,10839.110352,10839.110352,60420300
2023-03-29,10890.530273,10984.919922,10882.780273,10963.309570,10963.309570,91271300
2023-03-30,11013.490234,11049.209961,10985.230469,11032.209961,11032.209961,67578500
2023-03-31,11047.290039,11116.030273,11041.570313,11106.240234,11106.240234,56883100
2023-04-03,11112.309570,11119.599609,11049.570313,11093.089844,11093.089844,53557500
2023-04-04,11114.490234,11124.139648,11064.440430,11073.480469,11073.480469,42653800
2023-04-05,11059.519531,11134.160156,11042.759766,11115.400391,11115.400391,41602500
2023-04-06,11146.629883,11239.589844,11146.629883,11230.070313,11230.070313,48211100
2023-04-11,11288.519531,11306.250000,11223.980469,11265.299805,11265.299805,47172000
2023-04-12,11238.549805,11309.549805,11216.730469,11231.990234,11231.990234,61566300
2023-04-13,11234.870117,11288.290039,11222.049805,11258.950195,11258.950195,46023500
2023-04-14,11276.429688,11368.379883,11268.309570,11342.860352,11342.860352,50492900
2023-04-17,11337.179688,11342.459961,11296.959961,11311.759766,11311.759766,47056300
2023-04-18,11332.580078,11392.730469,11320.820313,11358.980469,11358.980469,36762100
2023-04-19,11332.349609,11377.849609,11330.769531,11366.219727,11366.219727,43415100
2023-04-20,11330.799805,11393.040039,11325.500000,11390.639648,11390.639648,40803500
2023-04-21,11402.549805,11460.580078,11371.419922,11460.580078,11460.580078,53575600
2023-04-24,11435.629883,11483.160156,11434.519531,11467.200195,11467.200195,40606600
2023-04-25,11468.540039,11549.030273,11458.629883,11513.120117,11513.120117,59631200
2023-04-26,11433.469727,11445.469727,11337.440430,11364.910156,11364.910156,52022400
2023-04-27,11366.110352,11414.070313,11336.080078,11361.889648,11361.889648,33476700
2023-04-28,11401.040039,11444.000000,11378.820313,11437.139648,11437.139648,38556000
2023-05-02,11460.049805,11514.169922,11411.419922,11423.330078,11423.330078,38261100
2023-05-03,11463.429688,11508.780273,11435.540039,11506.190430,11506.190430,37305700
2023-05-04,11450.150391,11487.910156,11418.250000,11456.370117,11456.370117,46155000
2023-05-05,11494.849609,11554.240234,11448.500000,11554.240234,11554.240234,33458400
2023-05-08,11546.250000,11606.879883,11537.209961,11595.250000,11595.250000,21833500
2023-05-09,11566.530273,11568.969727,11486.139648,11546.040039,11546.040039,34919900
2023-05-10,11522.750000,11543.299805,11421.379883,11447.230469,11447.230469,32890000
2023-05-11,11494.230469,11540.160156,11452.049805,11522.969727,11522.969727,43066500
2023-05-12,11578.639648,11606.099609,11539.790039,11564.730469,11564.730469,26036300
2023-05-15,11601.540039,11616.370117,11564.240234,11578.250000,11578.250000,23431300
2023-05-16,11548.080078,11568.330078,11497.759766,11519.870117,11519.870117,32038300
2023-05-17,11478.230469,11497.309570,11432.250000,11437.780273,11437.780273,31217900
2023-05-19,11496.809570,11607.889648,11482.540039,11571.160156,11571.160156,57307800
2023-05-22,11558.879883,11591.000000,11533.469727,11553.230469,11553.230469,29535900
2023-05-23,11494.969727,11561.389648,11484.900391,11484.900391,11484.900391,31292200
2023-05-24,11432.860352,11447.780273,11349.129883,11383.139648,11383.139648,32550100
2023-05-25,11365.620117,11374.019531,11307.580078,11325.259766,11325.259766,30221100
2023-05-26,11353.339844,11464.339844,11313.879883,11434.240234,11434.240234,39008800
2023-05-30,11404.410156,11428.019531,11282.450195,11282.450195,11282.450195,50202200
2023-05-31,11241.799805,11348.230469,11194.940430,11217.889648,11217.889648,298287000
2023-06-01,11266.309570,11324.540039,11246.190430,11296.280273,11296.280273,82837800
2023-06-02,11325.809570,11446.459961,11321.049805,11443.349609,11443.349609,37052800
2023-06-05,11467.769531,11487.820313,11412.610352,11415.000000,11415.000000,36805400
2023-06-06,11425.969727,11490.780273,11397.209961,11468.269531,11468.269531,42104000
2023-06-07,11424.330078,11440.839844,11343.309570,11348.110352,11348.110352,40736000
2023-06-08,11348.450195,11368.519531,11294.849609,11308.900391,11308.900391,42944600
2023-06-09,11317.790039,11321.230469,11238.629883,11254.419922,11254.419922,42201300
2023-06-12,11343.150391,11343.179688,11296.429688,11301.250000,11301.250000,67609900
2023-06-13,11340.019531,11348.150391,11275.509766,11327.269531,11327.269531,23060100
2023-06-14,11317.929688,11356.349609,11259.230469,11278.299805,11278.299805,28798200
2023-06-15,11273.080078,11305.929688,11249.849609,11302.830078,11302.830078,22630700
2023-06-16,11317.440430,11448.690430,11309.360352,11386.259766,11386.259766,59905200
2023-06-19,11360.209961,11361.669922,11291.129883,11306.639648,11306.639648,16160900
2023-06-20,11271.570313,11315.730469,11215.910156,11215.910156,11215.910156,25088200
2023-06-21,11196.620117,11243.959961,11164.280273,11173.650391,11173.650391,20000700
2023-06-22,11102.110352,11183.419922,11070.610352,11183.419922,11183.419922,19069200
2023-06-23,11177.089844,11263.740234,11175.049805,11221.219727,11221.219727,17111600
2023-06-26,11205.200195,11205.200195,11136.389648,11141.900391,11141.900391,19535300
2023-06-27,11167.879883,11184.959961,11113.000000,11142.650391,11142.650391,17882900
2023-06-28,11233.660156,11242.530273,11167.639648,11183.549805,11183.549805,20770300
2023-06-29,11194.480469,11203.419922,11156.849609,11170.509766,11170.509766,16673800
2023-06-30,11204.929688,11309.040039,11203.259766,11280.290039,11280.290039,27781500
2023-07-03,11288.150391,11332.259766,11217.030273,11219.150391,11219.150391,18721300
2023-07-04,11236.059570,11261.309570,11208.280273,11217.339844,11217.339844,13465500
2023-07-05,11189.099609,11214.910156,11159.500000,11193.919922,11193.919922,21350100
2023-07-06,11112.209961,11121.919922,10967.570313,10986.780273,10986.780273,22737300
2023-07-07,10959.889648,10996.259766,10851.839844,10874.900391,10874.900391,20551400
2023-07-10,10865.250000,10952.150391,10859.429688,10922.009766,10922.009766,19546000
2023-07-11,10928.410156,10975.589844,10904.110352,10962.589844,10962.589844,18532700
2023-07-12,10972.120117,11039.919922,10953.000000,11019.030273,11019.030273,19089500
2023-07-13,11016.440430,11076.169922,11013.040039,11021.660156,11021.660156,14363200
2023-07-14,11030.429688,11114.370117,11030.429688,11110.190430,11110.190430,18579200
2023-07-17,11119.419922,11122.419922,10975.509766,10976.200195,10976.200195,18458200
2023-07-18,10998.089844,11120.879883,10993.009766,11103.549805,11103.549805,18592400
2023-07-19,11123.589844,11161.839844,11119.019531,11120.150391,11120.150391,18951300
2023-07-20,11096.589844,11216.809570,11087.669922,11201.549805,11201.549805,21368000
2023-07-21,11232.089844,11246.299805,11167.330078,11207.379883,11207.379883,19199700
2023-07-24,11203.230469,11238.620117,11164.299805,11177.679688,11177.679688,17205900
2023-07-25,11194.799805,11245.860352,11159.150391,11231.410156,11231.410156,18495700
2023-07-26,11223.959961,11242.690430,11116.540039,11183.549805,11183.549805,19730800
2023-07-27,11222.599609,11399.490234,11220.799805,11373.209961,11373.209961,25748200
2023-07-28,11326.250000,11364.990234,11301.120117,11317.740234,11317.740234,17921100
2023-07-31,11314.290039,11349.370117,11308.019531,11309.250000,11309.250000,19540600
2023-08-02,11154.530273,11244.639648,11130.709961,11212.700195,11212.700195,25310500
2023-08-03,11158.240234,11158.530273,11060.740234,11087.179688,11087.179688,20575200
2023-08-04,11077.870117,11101.410156,11009.019531,11098.480469,11098.480469,17584500
2023-08-07,11084.530273,11118.900391,11058.519531,11107.469727,11107.469727,15499500
2023-08-08,11074.809570,11130.870117,11044.719727,11057.320313,11057.320313,18623600
2023-08-09,11115.059570,11146.219727,11081.540039,11081.540039,11081.540039,17394600
2023-08-10,11122.629883,11189.099609,11106.900391,11149.790039,11149.790039,19522700
2023-08-11,11133.030273,11162.450195,11050.620117,11081.629883,11081.629883,28789800
2023-08-14,11084.219727,11125.750000,11064.870117,11110.110352,11110.110352,17565800
2023-08-15,11086.879883,11097.540039,10956.379883,10985.219727,10985.219727,20325100
2023-08-16,10971.139648,11028.540039,10971.139648,10992.309570,10992.309570,20669200
2023-08-17,10943.370117,10951.870117,10876.459961,10884.889648,10884.889648,22964000
2023-08-18,10863.530273,10870.269531,10749.379883,10839.059570,10839.059570,23608100
2023-08-21,10842.629883,10926.009766,10842.629883,10848.339844,10848.339844,17811600
2023-08-22,10883.549805,10942.690430,10872.980469,10875.679688,10875.679688,20193800
2023-08-23,10929.410156,11021.559570,10925.129883,10973.639648,10973.639648,19656100
2023-08-24,11025.440430,11054.889648,10966.709961,10976.830078,10976.830078,24410000
