Date,Open,High,Low,Close,Adj Close,Volume
2022-12-08,7489.200195,7508.000000,7469.100098,7472.200195,7472.200195,637244700
2022-12-09,7472.200195,7498.000000,7431.399902,7476.600098,7476.600098,741398100
2022-12-12,7476.600098,7476.600098,7438.899902,7446.000000,7446.000000,606464000
2022-12-13,7446.000000,7553.399902,7429.000000,7502.899902,7502.899902,688121300
2022-12-14,7502.899902,7504.500000,7461.700195,7495.899902,7495.899902,745004400
2022-12-15,7495.899902,7495.899902,7411.100098,7426.200195,7426.200195,616549200
2022-12-16,7426.200195,7429.299805,7305.700195,7332.100098,7332.100098,1834745500
2022-12-19,7332.100098,7385.399902,7332.100098,7361.299805,7361.299805,517840400
2022-12-20,7361.299805,7389.899902,7302.799805,7370.600098,7370.600098,799491300
2022-12-21,7370.600098,7498.500000,7368.700195,7497.299805,7497.299805,499178500
2022-12-22,7497.299805,7540.299805,7463.500000,7469.299805,7469.299805,402305900
2022-12-23,7469.299805,7496.399902,7462.799805,7473.000000,7473.000000,222853700
2022-12-28,7473.000000,7547.000000,7473.000000,7497.200195,7497.200195,416900400
2022-12-29,7497.200195,7516.399902,7434.600098,7512.700195,7512.700195,351759900
2022-12-30,7512.700195,7512.899902,7451.700195,7451.700195,7451.700195,254135300
2023-01-03,7451.700195,7626.399902,7448.700195,7554.100098,7554.100098,914070400
2023-01-04,7554.100098,7609.299805,7545.200195,7585.200195,7585.200195,753877000
2023-01-05,7585.200195,7658.799805,7564.700195,7633.500000,7633.500000,883850800
2023-01-06,7633.500000,7700.799805,7633.500000,7699.500000,7699.500000,813538800
2023-01-09,7699.500000,7725.700195,7688.700195,7724.899902,7724.899902,847858600
2023-01-10,7724.899902,7724.899902,7684.399902,7694.500000,7694.500000,933139900
2023-01-11,7694.500000,7772.399902,7694.399902,7725.000000,7725.000000,1041280000
2023-01-12,7725.000000,7809.100098,7724.600098,7794.000000,7794.000000,738395600
2023-01-13,7794.000000,7865.000000,7793.600098,7844.100098,7844.100098,754267100
2023-01-16,7844.100098,7867.200195,7841.899902,7860.100098,7860.100098,662559400
2023-01-17,7860.100098,7875.600098,7830.399902,7851.000000,7851.000000,992753700
2023-01-18,7851.000000,7867.399902,7824.700195,7830.700195,7830.700195,963849600
2023-01-19,7830.700195,7830.799805,7726.200195,7747.299805,7747.299805,732044900
2023-01-20,7747.299805,7790.899902,7747.299805,7770.600098,7770.600098,801110300
2023-01-23,7770.600098,7811.200195,7768.500000,7784.700195,7784.700195,562127700
2023-01-24,7784.700195,7800.899902,7741.799805,7757.399902,7757.399902,754271900
2023-01-25,7757.399902,7773.600098,7710.799805,7744.899902,7744.899902,717266400
2023-01-26,7744.899902,7787.600098,7744.899902,7761.100098,7761.100098,828610300
2023-01-27,7761.100098,7777.399902,7742.100098,7765.200195,7765.200195,709941200
2023-01-30,7765.200195,7790.700195,7718.299805,7784.899902,7784.899902,1123538000
2023-01-31,7784.899902,7784.899902,7708.299805,7771.700195,7771.700195,838335600
2023-02-01,7771.700195,7798.500000,7745.399902,7761.100098,7761.100098,924663100
2023-02-02,7761.100098,7837.799805,7758.500000,7820.200195,7820.200195,726760200
2023-02-03,7820.200195,7906.600098,7806.899902,7901.799805,7901.799805,713859100
2023-02-06,7901.799805,7901.799805,7808.399902,7836.700195,7836.700195,665926500
2023-02-07,7836.700195,7890.799805,7835.399902,7864.700195,7864.700195,777311900
2023-02-08,7864.700195,7934.299805,7864.700195,7885.200195,7885.200195,587150400
2023-02-09,7885.200195,7949.600098,7874.200195,7911.200195,7911.200195,1061015400
2023-02-10,7911.200195,7913.299805,7850.899902,7882.500000,7882.500000,974265500
2023-02-13,7882.500000,7947.600098,7881.899902,7947.600098,7947.600098,570125100
2023-02-14,7947.600098,7996.399902,7947.600098,7953.899902,7953.899902,697856100
2023-02-15,7953.899902,8003.700195,7921.299805,7997.799805,7997.799805,841595900
2023-02-16,7997.799805,8047.100098,7978.600098,8012.500000,8012.500000,731954200
2023-02-17,8012.500000,8012.500000,7957.700195,8004.399902,8004.399902,1270492000
2023-02-20,8004.399902,8020.100098,7995.500000,8014.299805,8014.299805,696068100
2023-02-21,8014.299805,8014.399902,7952.500000,7977.799805,7977.799805,889518400
2023-02-22,7977.799805,7977.799805,7879.000000,7930.600098,7930.600098,682684900
2023-02-23,7930.600098,7935.600098,7888.899902,7907.700195,7907.700195,974842600
2023-02-24,7907.700195,7939.200195,7870.399902,7878.700195,7878.700195,879172000
2023-02-27,7878.700195,7950.000000,7878.700195,7935.100098,7935.100098,755879000
2023-02-28,7935.100098,7935.100098,7854.799805,7876.299805,7876.299805,1246757900
2023-03-01,7876.299805,7950.700195,7874.299805,7914.899902,7914.899902,1202133000
2023-03-02,7914.899902,7945.799805,7875.000000,7944.000000,7944.000000,889732700
2023-03-03,7944.000000,7974.399902,7920.100098,7947.100098,7947.100098,644050800
2023-03-06,7947.100098,7948.700195,7897.500000,7929.799805,7929.799805,629550100
2023-03-07,7929.799805,7959.799805,7909.799805,7919.500000,7919.500000,869427500
2023-03-08,7919.500000,7946.600098,7891.399902,7929.899902,7929.899902,770649400
2023-03-09,7929.899902,7930.299805,7862.000000,7880.000000,7880.000000,839666000
2023-03-10,7880.000000,7880.000000,7708.299805,7748.399902,7748.399902,987132200
2023-03-13,7748.399902,7752.399902,7546.000000,7548.600098,7548.600098,1201999000
2023-03-14,7548.600098,7641.600098,7503.299805,7637.100098,7637.100098,875583300
2023-03-15,7637.100098,7637.399902,7333.399902,7344.500000,7344.500000,1340604500
2023-03-16,7344.500000,7458.600098,7331.500000,7410.000000,7410.000000,1196884100
2023-03-17,7410.000000,7510.500000,7309.299805,7335.399902,7335.399902,2095306400
2023-03-20,7335.399902,7426.200195,7206.799805,7403.899902,7403.899902,1084762200
2023-03-21,7403.899902,7557.600098,7403.899902,7536.200195,7536.200195,801743800
2023-03-22,7536.200195,7585.600098,7505.500000,7566.799805,7566.799805,892439300
2023-03-23,7566.799805,7566.799805,7476.100098,7499.600098,7499.600098,1227843700
2023-03-24,7499.600098,7499.600098,7335.700195,7405.500000,7405.500000,862536800
2023-03-27,7405.500000,7491.700195,7405.500000,7471.799805,7471.799805,703755400
2023-03-28,7471.799805,7524.600098,7464.600098,7484.299805,7484.299805,1159788800
2023-03-29,7484.299805,7566.799805,7484.200195,7564.299805,7564.299805,637649500
2023-03-30,7564.299805,7638.500000,7564.299805,7620.399902,7620.399902,792010000
2023-03-31,7620.399902,7654.399902,7616.100098,7631.700195,7631.700195,816288100
2023-04-03,7631.700195,7698.200195,7631.700195,7673.000000,7673.000000,921588900
2023-04-04,7673.000000,7726.899902,7634.500000,7634.500000,7634.500000,791013200
2023-04-05,7634.500000,7678.500000,7634.299805,7662.899902,7662.899902,660285800
