Date,14 period ATR
2022-10-28,
2022-10-31,
2022-11-01,
2022-11-02,
2022-11-03,
2022-11-04,
2022-11-07,
2022-11-08,
2022-11-09,
2022-11-10,
2022-11-11,
2022-11-14,
2022-11-15,
2022-11-16,0.008989999999999982
2022-11-17,0.009000714285714275
2022-11-18,0.009049999999999987
2022-11-21,0.009301428571428563
2022-11-22,0.009451428571428564
2022-11-23,0.009279285714285712
2022-11-24,0.008765714285714281
2022-11-25,0.008488571428571432
2022-11-28,0.008619285714285718
2022-11-29,0.00811071428571428
2022-11-30,0.00761142857142857
2022-12-01,0.007544285714285718
2022-12-02,0.007300714285714295
2022-12-05,0.007120714285714298
2022-12-06,0.007042857142857161
2022-12-07,0.0067435714285714364
2022-12-08,0.006639285714285721
2022-12-09,0.006639285714285721
2022-12-12,0.006545714285714298
2022-12-13,0.006070000000000012
2022-12-14,0.005654285714285723
2022-12-15,0.006245000000000008
2022-12-16,0.006853571428571443
2022-12-19,0.006788571428571454
2022-12-20,0.006989285714285738
2022-12-21,0.006795714285714302
2022-12-22,0.0071107142857143035
2022-12-23,0.006868571428571446
2022-12-26,0.007306428571428579
2022-12-27,0.00757714285714287
2022-12-28,0.007771428571428588
2022-12-29,0.007517142857142873
2022-12-30,0.007577857142857152
2023-01-02,0.007567857142857158
2023-01-03,0.007850000000000024
2023-01-04,0.007364285714285728
2023-01-05,0.00658714285714287
2023-01-06,0.006802142857142868
2023-01-09,0.006784285714285727
2023-01-10,0.006678571428571446
2023-01-11,0.0063650000000000095
2023-01-12,0.006552142857142863
2023-01-13,0.006016428571428581
2023-01-16,0.005809285714285723
2023-01-17,0.005998571428571441
2023-01-18,0.006694285714285724
2023-01-19,0.006745000000000017
2023-01-20,0.006760714285714294
2023-01-23,0.00673642857142858
2023-01-24,0.006924285714285732
2023-01-25,0.006945714285714301
2023-01-26,0.006751428571428583
2023-01-27,0.006554285714285727
2023-01-30,0.006480714285714292
2023-01-31,0.00639214285714287
2023-02-01,0.0066078571428571575
2023-02-02,0.007222142857142876
2023-02-03,0.007542857142857161
2023-02-06,0.007227142857142876
2023-02-07,0.006665000000000016
2023-02-08,0.006549285714285725
2023-02-09,0.006660000000000015
2023-02-10,0.006507857142857161
2023-02-13,0.006228571428571449
2023-02-14,0.006125714285714298
2023-02-15,0.0064221428571428684
2023-02-16,0.0068071428571428606
2023-02-17,0.006900714285714292
2023-02-20,0.0067164285714285754
2023-02-21,0.006742857142857146
2023-02-22,0.006444999999999994
2023-02-23,0.005975
2023-02-24,0.005894999999999991
2023-02-27,0.005739285714285709
2023-02-28,0.005954999999999996
2023-03-01,0.006293571428571422
2023-03-02,0.006654285714285708
2023-03-03,0.006498571428571409
2023-03-06,0.006511428571428557
2023-03-07,0.00651285714285713
2023-03-08,0.006138571428571422
2023-03-09,0.006104999999999987
2023-03-10,0.006407142857142841
2023-03-13,0.006213571428571414
2023-03-14,0.006045714285714281
2023-03-15,0.006777142857142847
2023-03-16,0.007039999999999991
2023-03-17,0.007049999999999993
2023-03-20,0.006787142857142848
2023-03-21,0.006785714285714276
2023-03-22,0.006713571428571414
2023-03-23,0.006901428571428566
2023-03-24,0.007024285714285713
2023-03-27,0.006715000000000003
2023-03-28,0.006697142857142862
2023-03-29,0.006555714285714299
2023-03-30,0.006338571428571448
2023-03-31,0.006092142857142879
2023-04-03,0.005876428571428592
2023-04-04,0.0054342857142857404
2023-04-05,0.005145000000000026
2023-04-06,0.005205714285714306
2023-04-07,0.005213571428571444
2023-04-10,0.004640000000000017
2023-04-11,0.0041792857142857265
2023-04-12,0.004130000000000015
2023-04-13,0.004015714285714297
2023-04-14,0.0040528571428571514
2023-04-17,0.004104285714285719
2023-04-18,0.0042342857142857225
2023-04-19,0.004208571428571435
2023-04-20,0.0041778571428571455
2023-04-21,0.004292857142857138
2023-04-24,0.0041635714285714175
2023-04-25,0.0042464285714285555
2023-04-26,0.0042228571428571315
2023-04-27,0.004275714285714279
2023-04-28,0.004663571428571426
2023-05-01,0.0049514285714285745
2023-05-02,0.004983571428571428
2023-05-03,0.004927857142857143
2023-05-04,0.0051399999999999935
2023-05-05,0.005497142857142859
2023-05-08,0.005472857142857136
2023-05-09,0.005473571428571427
2023-05-10,0.005607142857142858
2023-05-11,0.005757857142857148
2023-05-12,0.005720000000000011
2023-05-15,0.005693571428571449
2023-05-16,0.00566357142857145
2023-05-17,0.005650000000000012
2023-05-18,0.005287142857142871
2023-05-19,0.004995000000000019
2023-05-22,0.004787857142857154
2023-05-23,0.004762142857142866
2023-05-24,0.004609285714285728
2023-05-25,0.004217857142857154
2023-05-26,0.004146428571428583
2023-05-29,0.004102142857142864
2023-05-30,0.004177142857142864
2023-05-31,0.00422428571428572
2023-06-01,0.004502857142857142
2023-06-02,0.00438214285714285
2023-06-05,0.00443499999999999
2023-06-06,0.004265714285714285
2023-06-07,0.0042564285714285655
2023-06-08,0.004264285714285697
2023-06-09,0.004540714285714279
2023-06-12,0.00468785714285714
2023-06-13,0.004756428571428566
2023-06-14,0.004885714285714279
2023-06-15,0.0049792857142857095
2023-06-16,0.0050192857142857105
2023-06-19,0.004920714285714278
2023-06-20,0.00474928571428571
2023-06-21,0.004755714285714284
2023-06-22,0.005162142857142853
2023-06-23,0.005348571428571425
2023-06-26,0.005560714285714276
2023-06-27,0.005669999999999993
2023-06-28,0.0060214285714285665
2023-06-29,0.005919999999999989
2023-06-30,0.005859285714285694
2023-07-03,0.005629999999999984
2023-07-04,0.005502857142857119
2023-07-05,0.0055257142857142606
