Date,14 period ATR
2022-10-28,
2022-10-31,
2022-11-01,
2022-11-02,
2022-11-03,
2022-11-04,
2022-11-07,
2022-11-08,
2022-11-09,
2022-11-10,
2022-11-11,
2022-11-14,
2022-11-15,
2022-11-16,0.01511071428571428
2022-11-17,0.01526571428571428
2022-11-18,0.015030714285714286
2022-11-21,0.015262857142857142
2022-11-22,0.015517857142857147
2022-11-23,0.015343571428571432
2022-11-24,0.014854285714285709
2022-11-25,0.01346642857142857
2022-11-28,0.013302857142857156
2022-11-29,0.013220714285714292
2022-11-30,0.012172857142857152
2022-12-01,0.011333571428571434
2022-12-02,0.011042142857142865
2022-12-05,0.01062714285714286
2022-12-06,0.01027857142857143
2022-12-07,0.010302142857142862
2022-12-08,0.010458571428571437
2022-12-09,0.010032857142857152
2022-12-12,0.009905714285714295
2022-12-13,0.009923571428571436
2022-12-14,0.009827857142857142
2022-12-15,0.010087857142857148
2022-12-16,0.009558571428571432
2022-12-19,0.009619714285714296
2022-12-20,0.009411142857142864
2022-12-21,0.008346142857142866
2022-12-22,0.008032571428571436
2022-12-23,0.007653285714285728
2022-12-26,0.007433285714285721
2022-12-27,0.007125785714285722
2022-12-28,0.006898642857142859
2022-12-29,0.006781500000000004
2022-12-30,0.006749357142857142
2023-01-02,0.006185785714285709
2023-01-03,0.006565071428571434
2023-01-04,0.006658642857142865
2023-01-05,0.006920785714285719
2023-01-06,0.007281071428571428
2023-01-09,0.008303928571428578
2023-01-10,0.008636071428571432
2023-01-11,0.00846678571428571
2023-01-12,0.008808214285714282
2023-01-13,0.009215357142857135
2023-01-16,0.009301428571428563
2023-01-17,0.009420714285714282
2023-01-18,0.009771428571428566
2023-01-19,0.009646428571428571
2023-01-20,0.009634285714285715
2023-01-23,0.008958571428571427
2023-01-24,0.008470714285714285
2023-01-25,0.008111428571428572
2023-01-26,0.007720000000000005
2023-01-27,0.006725000000000004
2023-01-30,0.006462857142857151
2023-01-31,0.006576428571428586
2023-02-01,0.00640500000000001
2023-02-02,0.006771428571428587
2023-02-03,0.007539285714285733
2023-02-06,0.008180714285714303
2023-02-07,0.008217857142857157
2023-02-08,0.008180000000000012
2023-02-09,0.008309285714285733
2023-02-10,0.008305714285714305
2023-02-13,0.008488571428571448
2023-02-14,0.00884785714285716
2023-02-15,0.008850714285714299
2023-02-16,0.008847857142857145
2023-02-17,0.008974285714285712
2023-02-20,0.00881357142857142
2023-02-21,0.008687857142857136
2023-02-22,0.008099999999999987
2023-02-23,0.007332857142857125
2023-02-24,0.006679999999999979
2023-02-27,0.006470714285714266
2023-02-28,0.006775857142857119
2023-03-01,0.0070815714285714015
2023-03-02,0.007171571428571404
2023-03-03,0.007131571428571396
2023-03-06,0.006976571428571403
2023-03-07,0.007274428571428555
2023-03-08,0.0078015714285714155
2023-03-09,0.00761799999999999
2023-03-10,0.008313
2023-03-13,0.008953000000000004
2023-03-14,0.008973000000000009
2023-03-15,0.010042285714285734
2023-03-16,0.01064228571428573
2023-03-17,0.010644428571428595
2023-03-20,0.010800714285714315
2023-03-21,0.010680000000000031
2023-03-22,0.010584285714285744
2023-03-23,0.011032357142857179
2023-03-24,0.01136807142857146
2023-03-27,0.011113785714285737
2023-03-28,0.010519928571428592
2023-03-29,0.010607500000000023
2023-03-30,0.010249642857142876
2023-03-31,0.00978678571428573
2023-04-03,0.010133214285714303
2023-04-04,0.009634642857142868
2023-04-05,0.008927500000000017
2023-04-06,0.008828214285714295
2023-04-07,0.008364642857142866
2023-04-10,0.008221785714285723
2023-04-11,0.008066785714285723
2023-04-12,0.007900142857142864
2023-04-13,0.007867000000000004
2023-04-14,0.007905571428571432
2023-04-17,0.008325142857142864
2023-04-18,0.008310428571428576
2023-04-19,0.008131142857142861
2023-04-20,0.007960428571428566
2023-04-21,0.007507571428571423
2023-04-24,0.006879714285714282
2023-04-25,0.007079714285714285
2023-04-26,0.007366142857142861
2023-04-27,0.007612571428571436
2023-04-28,0.00756471428571429
2023-05-01,0.007616857142857147
2023-05-02,0.007244000000000005
2023-05-03,0.006872142857142867
2023-05-04,0.006912857142857157
2023-05-05,0.0066328571428571625
2023-05-08,0.006492857142857166
2023-05-09,0.006528571428571455
2023-05-10,0.006570714285714319
2023-05-11,0.0068371428571428906
2023-05-12,0.007220000000000028
2023-05-15,0.007022142857142889
2023-05-16,0.0065964285714285986
2023-05-17,0.006471428571428596
2023-05-18,0.006602142857142882
2023-05-19,0.006670714285714308
2023-05-22,0.00661000000000002
2023-05-23,0.006447857142857156
2023-05-24,0.006212142857142865
2023-05-25,0.0060100000000000075
2023-05-26,0.006114285714285723
2023-05-29,0.0059171428571428665
2023-05-30,0.006000714285714296
2023-05-31,0.005965000000000006
2023-06-01,0.005755214285714294
2023-06-02,0.005893071428571436
2023-06-05,0.006120928571428581
2023-06-06,0.0061430714285714404
2023-06-07,0.0059759285714285825
2023-06-08,0.006027357142857149
2023-06-09,0.006183785714285723
2023-06-12,0.006163785714285727
2023-06-13,0.006225928571428586
2023-06-14,0.006438785714285721
2023-06-15,0.006997357142857145
2023-06-16,0.007520642857142855
2023-06-19,0.007298928571428569
2023-06-20,0.007058214285714285
2023-06-21,0.006825142857142855
2023-06-22,0.006842999999999988
2023-06-23,0.007192285714285707
2023-06-26,0.007205857142857129
2023-06-27,0.007195857142857127
2023-06-28,0.007046571428571418
2023-06-29,0.007120857142857135
2023-06-30,0.007365857142857138
2023-07-03,0.007307285714285715
2023-07-04,0.00688942857142857
2023-07-05,0.006275857142857143
2023-07-06,0.005913999999999998
