Date,9 period EMA
2022-10-28,0.8646
2022-10-31,0.8633611111111111
2022-11-01,0.8668934426229506
2022-11-02,0.8680677506775067
2022-11-03,0.8711413612565445
2022-11-04,0.877651747766502
2022-11-07,0.878876180333976
2022-11-08,0.8763128966221558
2022-11-09,0.8738381643554837
2022-11-10,0.8751403529164516
2022-11-11,0.8707381346647424
2022-11-14,0.8657518530697259
2022-11-15,0.8626050871710039
2022-11-16,0.8582359113521376
2022-11-17,0.8543023284367737
2022-11-18,0.8520093203084677
2022-11-21,0.8498181146825728
2022-11-22,0.8489345753158066
2022-11-23,0.8472676371417994
2022-11-24,0.8434217698827715
2022-11-25,0.8398101041696725
2022-11-28,0.8377428295413385
2022-11-29,0.8374123126054457
2022-11-30,0.8373374967765941
2022-12-01,0.8354601048350513
2022-12-02,0.8314981094718116
2022-12-05,0.8278276128612023
2022-12-06,0.826295126028321
2022-12-07,0.825875050787707
2022-12-08,0.8244662966770464
2022-12-09,0.823023608572542
2022-12-12,0.8218279395514383
2022-12-13,0.8204494779373043
2022-12-14,0.818214449055562
2022-12-15,0.8156085021467974
2022-12-16,0.816567112804382
2022-12-19,0.8177239905861492
2022-12-20,0.8187434041928421
2022-12-21,0.81907477841326
2022-12-22,0.8208586598491224
2022-12-23,0.8228011344386263
2022-12-26,0.8240784162100172
2022-12-27,0.8247687799517355
2022-12-28,0.8261030966084971
2022-12-29,0.8271545230828795
2022-12-30,0.8276116343943082
2023-01-02,0.8271012932892128
2023-01-03,0.8274790430554714
2023-01-04,0.8290712628505275
2023-01-05,0.8291350111902686
2023-01-06,0.8312020325534268
2023-01-09,0.830027615315162
2023-01-10,0.8281600786050898
2023-01-11,0.8270760565468719
2023-01-12,0.8261408408636758
2023-01-13,0.8246086669583974
2023-01-16,0.8232629295387168
2023-01-17,0.8224403416612668
2023-01-18,0.8207562701029733
2023-01-19,0.8185790127457413
2023-01-20,0.816241207330452
2023-01-23,0.8142009638632965
2023-01-24,0.8129147700814411
2023-01-25,0.8125478158348118
2023-01-26,0.8111662519740722
2023-01-27,0.810025001120778
2023-01-30,0.8093064006656732
2023-01-31,0.8093411205414655
2023-02-01,0.8099568965598302
2023-02-02,0.8093855171538435
2023-02-03,0.8111344139533003
2023-02-06,0.814949531564419
2023-02-07,0.818255625530073
2023-02-08,0.820516500576441
2023-02-09,0.8220932005461682
2023-02-10,0.8227345604646003
2023-02-13,0.824131648419892
2023-02-14,0.8238853187291131
2023-02-15,0.8233882549723125
2023-02-16,0.8248266040032635
2023-02-17,0.8268712832315118
2023-02-20,0.8277510265951573
2023-02-21,0.8283248212813166
2023-02-22,0.8278218570214132
2023-02-23,0.8282334856195137
2023-02-24,0.8290067884991925
2023-02-27,0.8305354308050181
2023-02-28,0.8302443446431518
2023-03-01,0.8303974757148845
2023-03-02,0.830569980572235
2023-03-03,0.8317979844596516
2023-03-06,0.831710387567615
2023-03-07,0.8316683100540511
2023-03-08,0.8344286480453856
2023-03-09,0.8363169184374823
2023-03-10,0.8368035347502278
2023-03-13,0.8350148277994707
2023-03-14,0.8323318622387225
2023-03-15,0.8304454897904976
2023-03-16,0.8300663918323208
2023-03-17,0.8291991134657154
2023-03-20,0.8274592907723455
2023-03-21,0.8248834326176077
2023-03-22,0.8235047460939711
2023-03-23,0.8216737968750547
2023-03-24,0.8201850374999642
2023-03-27,0.8194666299999407
2023-03-28,0.8182073039999094
2023-03-29,0.8167658431998882
2023-03-30,0.8158346745598902
2023-03-31,0.8141237396478822
2023-04-03,0.814072991718305
2023-04-04,0.8122483933746236
2023-04-05,0.8098187146996773
2023-04-06,0.8083289717597312
2023-04-07,0.8074477774077798
2023-04-10,0.806838221926221
2023-04-11,0.8068625775409769
2023-04-12,0.8063780620327802
2023-04-13,0.8051964496262213
2023-04-14,0.8038339597009744
2023-04-17,0.8043551677607802
2023-04-18,0.8050941342086251
2023-04-19,0.8050353073669
2023-04-20,0.8049442458935199
2023-04-21,0.8047153967148157
2023-04-24,0.8044183173718524
2023-04-25,0.8035346538974815
2023-04-26,0.8039257231179853
2023-04-27,0.8035065784943882
2023-04-28,0.8028372627955105
2023-05-01,0.8015358102364083
2023-05-02,0.8014086481891267
2023-05-03,0.8014269185513013
2023-05-04,0.8002635348410411
2023-05-05,0.7991508278728328
2023-05-08,0.7976666622982661
2023-05-09,0.7967033298386128
2023-05-10,0.7957826638708901
2023-05-11,0.7950169310967121
2023-05-12,0.7959095448773696
2023-05-15,0.7973576359018957
2023-05-16,0.7975641087215165
2023-05-17,0.7982512869772131
2023-05-18,0.7988214295817705
2023-05-19,0.8001871436654163
2023-05-22,0.8006497149323331
2023-05-23,0.8013637719458665
2023-05-24,0.8021570175566932
2023-05-25,0.8033936140453546
2023-05-26,0.8050748912362837
2023-05-29,0.806043912989027
2023-05-30,0.8067871303912215
2023-05-31,0.8065657043129771
2023-06-01,0.8059345634503816
2023-06-02,0.8044156507603053
2023-06-05,0.8044305206082443
2023-06-06,0.8044044164865954
2023-06-07,0.8044435331892765
2023-06-08,0.8042508265514214
2023-06-09,0.8026426612411374
2023-06-12,0.8010841289929099
2023-06-13,0.8006713031943281
2023-06-14,0.7991810425554626
2023-06-15,0.7971868340443702
2023-06-16,0.7941734672354962
2023-06-19,0.791218773788397
2023-06-20,0.7892890190307177
2023-06-21,0.7881052152245743
2023-06-22,0.7870761721796596
2023-06-23,0.7865589377437278
2023-06-26,0.7863611501949823
2023-06-27,0.786420920155986
2023-06-28,0.7860647361247889
2023-06-29,0.7870477888998312
2023-06-30,0.7881842311198651
