Date,9 period EMA
2022-10-28,0.86177
2022-10-31,0.8599144444444444
2022-11-01,0.8608101639344262
2022-11-02,0.8604239295392954
2022-11-03,0.8608213802950976
2022-11-04,0.8640357255616271
2022-11-07,0.8670989945093212
2022-11-08,0.8677456937331007
2022-11-09,0.8688508922158203
2022-11-10,0.8716402150291918
2022-11-11,0.8715679658676321
2022-11-14,0.8723694502837964
2022-11-15,0.8735653029210242
2022-11-16,0.8731960002328256
2022-11-17,0.8729916088021105
2022-11-18,0.8730612471879927
2022-11-21,0.8722466547596096
2022-11-22,0.8710090287189862
2022-11-23,0.8701569431276639
2022-11-24,0.868631972791183
2022-11-25,0.8667219614881034
2022-11-28,0.8653615309851557
2022-11-29,0.8652465460367917
2022-11-30,0.8650181582988345
2022-12-01,0.8646170111479797
2022-12-02,0.863440051776953
2022-12-05,0.8622230990103207
2022-12-06,0.8619519547389597
2022-12-07,0.8620817646622948
2022-12-08,0.8618090741553389
2022-12-09,0.8620014498439251
2022-12-12,0.861400683899321
2022-12-13,0.8609182413351537
2022-12-14,0.8607344999001468
2022-12-15,0.8604955029714454
2022-12-16,0.8628971817664852
2022-12-19,0.8643961345635832
2022-12-20,0.8660912597145864
2022-12-21,0.8671631858759521
2022-12-22,0.8693888445415424
2022-12-23,0.8715713077125258
2022-12-26,0.8730711737645133
2022-12-27,0.8744950359146472
2022-12-28,0.8764681361575131
2022-12-29,0.8778965711431291
2022-12-30,0.8791312999385225
2023-01-02,0.8801330678760324
2023-01-03,0.88112847649918
2023-01-04,0.8810807803484162
2023-01-05,0.8807586196807022
2023-01-06,0.8812549014110975
2023-01-09,0.880891917813246
2023-01-10,0.8808435338970309
2023-01-11,0.8813708302002025
2023-01-12,0.8821546678260178
2023-01-13,0.8834897392559095
2023-01-16,0.8838457924704501
2023-01-17,0.8844946355300305
2023-01-18,0.8832357060123947
2023-01-19,0.8814745621109705
2023-01-20,0.8800036478854409
2023-01-23,0.8791409174621893
2023-01-24,0.8789387338111103
2023-01-25,0.8797229875411722
2023-01-26,0.8797503900466984
2023-01-27,0.8792783118477088
2023-01-30,0.8787546493098685
2023-01-31,0.8787057194353144
2023-02-01,0.8794285756969344
2023-02-02,0.8813428608725441
2023-02-03,0.8834862889801969
2023-02-06,0.8859530314439358
2023-02-07,0.8871664252573768
2023-02-08,0.8877391402445022
2023-02-09,0.8877033121936699
2023-02-10,0.8874826497454176
2023-02-13,0.887164119785342
2023-02-14,0.8863192958049506
2023-02-15,0.8854094366238658
2023-02-16,0.8859515493086709
2023-02-17,0.8868792394600493
2023-02-20,0.8871253915708228
2023-02-21,0.887136313256757
2023-02-22,0.8856290505944975
2023-02-23,0.8845572404693925
2023-02-24,0.88400579237296
2023-02-27,0.8838026338976153
2023-02-28,0.8829501071155651
2023-03-01,0.8821260856904979
2023-03-02,0.8830988685542438
2023-03-03,0.8838490948445337
2023-03-06,0.8837492758755058
2023-03-07,0.8846574207012868
2023-03-08,0.8860699365621271
2023-03-09,0.8868919492502126
2023-03-10,0.8870595594002536
2023-03-13,0.886529647519992
2023-03-14,0.8854497180156499
2023-03-15,0.8849097744123824
2023-03-16,0.8832498195295677
2023-03-17,0.881855855623427
2023-03-20,0.8807106844985922
2023-03-21,0.8792125475987177
2023-03-22,0.8795720380790041
2023-03-23,0.8806716304632768
2023-03-24,0.8809213043706345
2023-03-27,0.8806370434964955
2023-03-28,0.8802576347971833
2023-03-29,0.8800081078377399
2023-03-30,0.8801344862701945
2023-03-31,0.8801555890161559
2023-04-03,0.8799564712129219
2023-04-04,0.8795751769703334
2023-04-05,0.8789821415762614
2023-04-06,0.8781517132610032
2023-04-07,0.8780953706088023
2023-04-10,0.8780382964870416
2023-04-11,0.8778366371896326
2023-04-12,0.8778953097517063
2023-04-13,0.8783662478013661
2023-04-14,0.8791389982410944
2023-04-17,0.8804611985928774
2023-04-18,0.8809169588743024
2023-04-19,0.8813675670994424
2023-04-20,0.881320053679554
2023-04-21,0.8813440429436431
2023-04-24,0.8816692343549146
2023-04-25,0.8822553874839318
2023-04-26,0.8826343099871454
2023-04-27,0.8832334479897166
2023-04-28,0.8831227583917733
2023-05-01,0.8818542067134185
2023-05-02,0.8811873653707347
2023-05-03,0.8814438922965877
2023-05-04,0.8812751138372702
2023-05-05,0.880240091069816
2023-05-08,0.8786580728558526
2023-05-09,0.8772804582846818
2023-05-10,0.8755123666277453
2023-05-11,0.8743698933021963
2023-05-12,0.8739179146417569
2023-05-15,0.8734503317134056
2023-05-16,0.8723602653707243
2023-05-17,0.8719362122965794
2023-05-18,0.8711909698372634
2023-05-19,0.8705667758698107
2023-05-22,0.8701494206958487
2023-05-23,0.8699895365566789
2023-05-24,0.8694456292453432
2023-05-25,0.8694425033962746
2023-05-26,0.8696560027170197
2023-05-29,0.8694108021736158
2023-05-30,0.8689306417388926
2023-05-31,0.868060513391114
2023-06-01,0.866228410712891
2023-06-02,0.8647867285703128
2023-06-05,0.8639413828562503
2023-06-06,0.8634511062850003
2023-06-07,0.8629028850280003
2023-06-08,0.8623943080224001
2023-06-09,0.8615914464179202
2023-06-12,0.8601711571343361
2023-06-13,0.860068925707469
2023-06-14,0.8591691405659752
2023-06-15,0.8584173124527801
2023-06-16,0.8579438499622242
2023-06-19,0.8568750799697793
2023-06-20,0.8562520639758234
2023-06-21,0.8560636511806589
2023-06-22,0.856990920944527
2023-06-23,0.8574727367556217
2023-06-26,0.8573281894044974
2023-06-27,0.8574565515235979
2023-06-28,0.8578972412188784
2023-06-29,0.8589677929751027
