Date,9 period EMA
2022-10-28,1.14527
2022-10-31,1.15082
2022-11-01,1.149738032786885
2022-11-02,1.1492746070460702
2022-11-03,1.1471165254640645
2022-11-04,1.1430136854887674
2022-11-07,1.1395532404722954
2022-11-08,1.139391448126513
2022-11-09,1.1388690423901866
2022-11-10,1.1341461132580535
2022-11-11,1.1329173397673036
2022-11-14,1.1288052941937108
2022-11-15,1.1244783596106327
2022-11-16,1.123560311505864
2022-11-17,1.1238774059744618
2022-11-18,1.1251312164057645
2022-11-21,1.1267207666132217
2022-11-22,1.128091302673336
2022-11-23,1.1287180748780854
2022-11-24,1.1301408635389039
2022-11-25,1.1326235899403898
2022-11-28,1.1344886335451372
2022-11-29,1.1345029915910532
2022-11-30,1.1355814863202036
2022-12-01,1.13639626721134
2022-12-02,1.1386738974841828
2022-12-05,1.1412172674786563
2022-12-06,1.1427347492194966
2022-12-07,1.1427378041028002
2022-12-08,1.1438376047695207
2022-12-09,1.1440542984186122
2022-12-12,1.1440774570830738
2022-12-13,1.1448624632232114
2022-12-14,1.1454282574703358
2022-12-15,1.145888792791589
2022-12-16,1.1428600513504794
2022-12-19,1.14155170141332
2022-12-20,1.1389028109776365
2022-12-21,1.1368559086821297
2022-12-22,1.133204241555886
2022-12-23,1.1306551221758414
2022-12-26,1.1296040083217955
2022-12-27,1.1288011520178678
2022-12-28,1.1265107969155013
2022-12-29,1.1243385429173955
2022-12-30,1.1219307504345937
2023-01-02,1.1211465784881514
2023-01-03,1.119787232476092
2023-01-04,1.1198617873109764
2023-01-05,1.1199994318133089
2023-01-06,1.118957533554272
2023-01-09,1.1197280338814646
2023-01-10,1.1201564302356815
2023-01-11,1.120327145186546
2023-01-12,1.1225897267308897
2023-01-13,1.1245917888753154
2023-01-16,1.1262474360558616
2023-01-17,1.1269039504167286
2023-01-18,1.1279971624275613
2023-01-19,1.1285417307765975
2023-01-20,1.1297373860871474
2023-01-23,1.1320079110966421
2023-01-24,1.1337763302648818
2023-01-25,1.1343850645940141
2023-01-26,1.1351040520362639
2023-01-27,1.1364872421846866
2023-01-30,1.13752779408217
2023-01-31,1.1385462355275877
2023-02-01,1.1363469879697112
2023-02-02,1.1338175899595555
2023-02-03,1.1302340714959087
2023-02-06,1.1273052568882866
2023-02-07,1.1250022053165978
2023-02-08,1.1221317640598107
2023-02-09,1.1199874111322252
2023-02-10,1.1193999288804386
2023-02-13,1.1181639430616985
2023-02-14,1.11781515443973
2023-02-15,1.1186041235692088
2023-02-16,1.1171592988298393
2023-02-17,1.1155634390413143
2023-02-20,1.1150607512273671
2023-02-21,1.114316600975162
2023-02-22,1.1160632807927704
2023-02-23,1.1171646246405926
2023-02-24,1.11811369971687
2023-02-27,1.1191609597773764
2023-02-28,1.1209807678272956
2023-03-01,1.1234526142676984
2023-03-02,1.1247180914165595
2023-03-03,1.1248784731334909
2023-03-06,1.125242778507235
2023-03-07,1.1239562228045383
2023-03-08,1.122014978242122
2023-03-09,1.1205819825928067
2023-03-10,1.1188555860733869
2023-03-13,1.1169004688579316
2023-03-14,1.1155303750859091
2023-03-15,1.1146523000685038
2023-03-16,1.1164178400551625
2023-03-17,1.1181522720444128
2023-03-20,1.1203798176358206
2023-03-21,1.1243778541090734
2023-03-22,1.1247482832872897
2023-03-23,1.124884626629841
2023-03-24,1.1249877013038783
2023-03-27,1.1249901610431028
2023-03-28,1.1250081288344829
2023-03-29,1.12696850306764
2023-03-30,1.1276668024541272
2023-03-31,1.1283874419633142
2023-04-03,1.128145953570648
