Date,9 period EMA
2022-10-28,1.00323
2022-10-31,1.0039466666666668
2022-11-01,1.007042295081967
2022-11-02,1.0088436856368563
2022-11-03,1.01183818657782
2022-11-04,1.0155900876051696
2022-11-07,1.013459188059798
2022-11-08,1.0097776990916334
2022-11-09,1.0056663423066257
2022-11-10,1.0039598395018774
2022-11-11,0.9989669890099707
2022-11-14,0.9923573825077103
2022-11-15,0.9874268469471693
2022-11-16,0.9828292741685498
2022-11-17,0.9785115012042694
2022-11-18,0.9757494563112211
2022-11-21,0.9741577223874469
2022-11-22,0.9745370105582158
2022-11-23,0.9735818430318014
2022-11-24,0.9708418848584431
2022-11-25,0.9688127928159496
2022-11-28,0.967953896718159
2022-11-29,0.9676815094840966
2022-11-30,0.9678600507244466
2022-12-01,0.9661214724164134
2022-12-02,0.962849288363661
2022-12-05,0.9599504216613206
2022-12-06,0.9584895115178682
2022-12-07,0.9578305895819854
2022-12-08,0.9564988230184364
2022-12-09,0.9545971751138836
2022-12-12,0.953751069737364
2022-12-13,0.9527222036685464
2022-12-14,0.9503825766029754
2022-12-15,0.9476349467112823
2022-12-16,0.9460674486868342
2022-12-19,0.9457998894871279
2022-12-20,0.9450597578703795
2022-12-21,0.9442476713652889
2022-12-22,0.9438980906249804
2022-12-23,0.9437384555246688
2022-12-26,0.9424706565673275
2022-12-27,0.941942489308661
2022-12-28,0.9415739713829044
2022-12-29,0.9414191703637883
2022-12-30,0.9407393126014452
2023-01-02,0.9393374110018432
2023-01-03,0.9387759162797239
2023-01-04,0.9406507664722245
2023-01-05,0.9410866193984804
2023-01-06,0.94294331671852
2023-01-09,0.9420366450929282
2023-01-10,0.9399673009525933
2023-01-11,0.938211830499583
2023-01-12,0.9363394556429339
2023-01-13,0.9332295528788194
2023-01-16,0.9313476366701879
2023-01-17,0.9297481055060342
2023-01-18,0.9290984831603982
2023-01-19,0.9285007856123496
2023-01-20,0.9274066271484455
2023-01-23,0.9260013003404158
2023-01-24,0.9247210392677915
2023-01-25,0.9234628306244428
2023-01-26,0.9218862637078526
2023-01-27,0.9210890106459981
2023-01-30,0.9208392084365152
2023-01-31,0.9209913667883337
2023-02-01,0.920939093419915
2023-02-02,0.9183572743110925
2023-02-03,0.9180858194131396
2023-02-06,0.9198106557121581
2023-02-07,0.9222285247734315
2023-02-08,0.9241808199503296
2023-02-09,0.9259846560575263
2023-02-10,0.9269677248884267
2023-02-13,0.9288801799767379
2023-02-14,0.9294901439982297
2023-02-15,0.929886115207329
2023-02-16,0.9309688921849942
2023-02-17,0.9322911137666846
2023-02-20,0.9330208910215998
2023-02-21,0.9336367128228508
2023-02-22,0.9346673702657394
2023-02-23,0.936309896222101
2023-02-24,0.937761916984406
2023-02-27,0.9396975335946969
2023-02-28,0.9402380268773597
2023-03-01,0.9412744215043456
2023-03-02,0.9404795372019685
2023-03-03,0.9410676297624674
2023-03-06,0.9410681038099746
2023-03-07,0.9399744830469174
2023-03-08,0.94153958643875
2023-03-09,0.942813669151792
2023-03-10,0.9432029353216272
2023-03-13,0.9417643482567295
2023-03-14,0.9398914786047875
2023-03-15,0.9383471828834368
2023-03-16,0.9396537463070155
2023-03-17,0.9401509970456935
2023-03-20,0.9394067976364577
2023-03-21,0.9381074381090307
2023-03-22,0.9361139504870583
2023-03-23,0.9328771603894306
2023-03-24,0.9308877283114381
2023-03-27,0.9302701826491242
2023-03-28,0.9292801461192655
2023-03-29,0.9279341168953756
2023-03-30,0.9267872935162753
2023-03-31,0.924837834812986
2023-04-03,0.924998267850391
2023-04-04,0.9232786142802936
2023-04-05,0.9211028914242154
2023-04-06,0.9203123131393667
2023-04-07,0.9193978505114881
2023-04-10,0.9187762804091876
2023-04-11,0.9190250243273511
2023-04-12,0.918412019461879
2023-04-13,0.9165496155694987
2023-04-14,0.9141596924555945
2023-04-17,0.9133677539644743
2023-04-18,0.91375420317158
2023-04-19,0.9132293625372635
2023-04-20,0.9131954900298108
2023-04-21,0.9128563920238483
2023-04-24,0.9122311136190783
2023-04-25,0.9106248908952619
2023-04-26,0.9106759127162094
2023-04-27,0.9095807301729673
2023-04-28,0.9089545841383737
2023-05-01,0.9088016673106989
2023-05-02,0.9093693338485592
2023-05-03,0.9091334670788472
2023-05-04,0.9079927736630776
2023-05-05,0.907834218930462
2023-05-08,0.9077773751443695
2023-05-09,0.9081039001154957
2023-05-10,0.9088871200923966
2023-05-11,0.9091916960739171
2023-05-12,0.9106353568591337
2023-05-15,0.9127942854873069
2023-05-16,0.9141654283898455
2023-05-17,0.9153983427118764
2023-05-18,0.9168486741695011
2023-05-19,0.9190869393356008
2023-05-22,0.9200655514684807
2023-05-23,0.9210484411747846
2023-05-24,0.9225447529398276
2023-05-25,0.923955802351862
2023-05-26,0.9256546418814896
2023-05-29,0.9270377135051917
2023-05-30,0.9284121708041534
2023-05-31,0.9290697366433228
2023-06-01,0.9302557893146582
2023-06-02,0.9300646314517266
2023-06-05,0.9309917051613812
2023-06-06,0.931503364129105
2023-06-07,0.932152691303284
2023-06-08,0.9325081530426272
2023-06-09,0.9314885224341019
2023-06-12,0.9312208179472815
2023-06-13,0.9307986543578252
2023-06-14,0.9300069234862602
2023-06-15,0.9284555387890083
2023-06-16,0.9254804310312067
2023-06-19,0.9231643448249655
2023-06-20,0.9216094758599725
2023-06-21,0.9204315806879781
2023-06-22,0.9182852645503825
2023-06-23,0.9171282116403061
2023-06-26,0.9170765693122449
2023-06-27,0.9169712554497959
2023-06-28,0.9161050043598367
2023-06-29,0.9161040034878694
2023-06-30,0.9169092027902955
