Date,TR
2022-10-28,0.006799999999999917
2022-10-31,0.009609999999999896
2022-11-01,0.009460000000000024
2022-11-02,0.0046999999999999265
2022-11-03,0.015260000000000051
2022-11-04,0.019580000000000153
2022-11-07,0.02617999999999987
2022-11-08,0.016499999999999848
2022-11-09,0.007550000000000057
2022-11-10,0.024229999999999974
2022-11-11,0.03078000000000003
2022-11-14,0.014979999999999993
2022-11-15,0.014960000000000084
2022-11-16,0.01096000000000008
2022-11-17,0.008969999999999922
2022-11-18,0.006319999999999992
2022-11-21,0.012709999999999999
2022-11-22,0.00827
2022-11-23,0.012820000000000054
2022-11-24,0.012730000000000019
2022-11-25,0.006749999999999923
2022-11-28,0.014210000000000056
2022-11-29,0.006399999999999961
2022-11-30,0.009560000000000013
2022-12-01,0.01902999999999999
2022-12-02,0.01090000000000002
2022-12-05,0.009149999999999991
2022-12-06,0.006080000000000085
2022-12-07,0.009299999999999975
2022-12-08,0.008510000000000018
2022-12-09,0.006750000000000034
2022-12-12,0.006489999999999996
2022-12-13,0.013070000000000026
2022-12-14,0.0113899999999999
2022-12-15,0.01039000000000001
2022-12-16,0.006800000000000028
2022-12-19,0.00725600000000004
2022-12-20,0.006639999999999979
2022-12-21,0.0041200000000000125
2022-12-22,0.006510000000000016
2022-12-23,0.0038400000000000656
2022-12-26,0.0030000000000000027
2022-12-27,0.004994999999999972
2022-12-28,0.005329999999999946
2022-12-29,0.005110000000000059
2022-12-30,0.006039999999999934
2023-01-02,0.005179999999999962
2023-01-03,0.016700000000000048
2023-01-04,0.011700000000000044
2023-01-05,0.01046999999999998
2023-01-06,0.012299999999999978
2023-01-09,0.02096000000000009
2023-01-10,0.008769999999999945
2023-01-11,0.0041399999999999215
2023-01-12,0.008620000000000072
2023-01-13,0.00869999999999993
2023-01-16,0.006199999999999983
2023-01-17,0.007000000000000006
2023-01-18,0.010020000000000029
2023-01-19,0.004290000000000016
2023-01-20,0.005009999999999959
2023-01-23,0.007240000000000024
2023-01-24,0.004870000000000041
2023-01-25,0.00544
2023-01-26,0.006820000000000048
2023-01-27,0.007030000000000092
2023-01-30,0.005099999999999993
2023-01-31,0.005730000000000013
2023-02-01,0.006220000000000003
2023-02-02,0.013830000000000009
2023-02-03,0.01695000000000002
2023-02-06,0.015979999999999994
2023-02-07,0.010539999999999994
2023-02-08,0.0037599999999999856
2023-02-09,0.006820000000000048
2023-02-10,0.00719000000000003
2023-02-13,0.007430000000000048
2023-02-14,0.01046999999999998
2023-02-15,0.006859999999999977
2023-02-16,0.006989999999999941
2023-02-17,0.006869999999999932
2023-02-20,0.0034799999999999276
2023-02-21,0.0044600000000000195
2023-02-22,0.005599999999999938
2023-02-23,0.006209999999999938
2023-02-24,0.006839999999999957
2023-02-27,0.007610000000000006
2023-02-28,0.008031999999999928
2023-03-01,0.011099999999999999
2023-03-02,0.008450000000000069
2023-03-03,0.006869999999999932
2023-03-06,0.008300000000000085
2023-03-07,0.011030000000000095
2023-03-08,0.014369999999999994
2023-03-09,0.0042999999999999705
2023-03-10,0.013210000000000055
2023-03-13,0.013420000000000099
2023-03-14,0.005879999999999996
2023-03-15,0.021180000000000088
2023-03-16,0.01523999999999992
2023-03-17,0.007640000000000091
2023-03-20,0.010220000000000007
2023-03-21,0.00941000000000003
2023-03-22,0.007110000000000061
2023-03-23,0.013143000000000016
2023-03-24,0.013000000000000012
2023-03-27,0.007469999999999977
2023-03-28,0.00605599999999995
2023-03-29,0.005526000000000031
2023-03-30,0.008199999999999985
2023-03-31,0.006940000000000057
2023-04-03,0.010730000000000017
2023-04-04,0.01419999999999999
2023-04-05,0.005340000000000011
2023-04-06,0.006249999999999978
2023-04-07,0.003730000000000011
2023-04-10,0.007410000000000028
2023-04-11,0.0049400000000000555
2023-04-12,0.010809999999999986
2023-04-13,0.012535999999999992
2023-04-14,0.008009999999999962
2023-04-17,0.011929999999999996
2023-04-18,0.005319999999999991
2023-04-19,0.005689999999999973
2023-04-20,0.004549999999999943
2023-04-21,0.004390000000000005
2023-04-24,0.005410000000000026
2023-04-25,0.008140000000000036
2023-04-26,0.010260000000000047
2023-04-27,0.007180000000000075
2023-04-28,0.006739999999999968
2023-05-01,0.005670000000000064
2023-05-02,0.005589999999999984
2023-05-03,0.007330000000000059
2023-05-04,0.008580000000000032
2023-05-05,0.008010000000000073
2023-05-08,0.0033600000000000296
2023-05-09,0.006190000000000029
2023-05-10,0.005140000000000033
2023-05-11,0.008120000000000016
2023-05-12,0.010769999999999946
2023-05-15,0.005370000000000097
2023-05-16,0.0042999999999999705
2023-05-17,0.005430000000000046
2023-05-18,0.008569999999999967
2023-05-19,0.006630000000000025
2023-05-22,0.0047399999999999665
2023-05-23,0.005059999999999953
2023-05-24,0.005279999999999951
2023-05-25,0.0051800000000000734
2023-05-26,0.0048200000000000465
2023-05-29,0.003430000000000044
2023-05-30,0.006310000000000038
2023-05-31,0.00761999999999996
2023-06-01,0.007832999999999979
2023-06-02,0.007300000000000084
2023-06-05,0.007489999999999997
2023-06-06,0.005740000000000078
2023-06-07,0.006229999999999958
2023-06-08,0.007349999999999968
2023-06-09,0.006929999999999992
2023-06-12,0.0047800000000000065
2023-06-13,0.006149999999999989
2023-06-14,0.008159999999999945
2023-06-15,0.012639999999999985
2023-06-16,0.010755999999999988
2023-06-19,0.003206000000000042
2023-06-20,0.004249999999999976
2023-06-21,0.004569999999999963
2023-06-22,0.007549999999999946
2023-06-23,0.012380000000000058
2023-06-26,0.005929999999999991
2023-06-27,0.006089999999999929
2023-06-28,0.005260000000000042
