Date,BB_UPPER,BB_MIDDLE,BB_LOWER
2022-10-28,,,
2022-10-31,,,
2022-11-01,,,
2022-11-02,,,
2022-11-03,,,
2022-11-04,,,
2022-11-07,,,
2022-11-08,,,
2022-11-09,,,
2022-11-10,,,
2022-11-11,,,
2022-11-14,,,
2022-11-15,,,
2022-11-16,,,
2022-11-17,,,
2022-11-18,,,
2022-11-21,,,
2022-11-22,,,
2022-11-23,,,
2022-11-24,1.030801033460794,0.9878164999999999,0.9448319665392059
2022-11-25,1.0296543646973642,0.9856945000000001,0.9417346353026362
2022-11-28,1.027686528837108,0.9836959999999999,0.9397054711628918
2022-11-29,1.0240271281767888,0.9814510000000001,0.9388748718232115
2022-11-30,1.0195894384807267,0.9792615,0.9389335615192732
2022-12-01,1.0129174303329187,0.976276,0.9396345696670815
2022-12-02,1.0027417467815953,0.9724824999999999,0.9422232532184044
2022-12-05,0.9968956905405847,0.9695435000000001,0.9421913094594155
2022-12-06,0.9920529719754501,0.9672694999999999,0.9424860280245497
2022-12-07,0.9878380781119276,0.9654305000000001,0.9430229218880726
2022-12-08,0.9803416135401835,0.963087,0.9458323864598166
2022-12-09,0.9778518694813478,0.9613800000000001,0.9449081305186524
2022-12-12,0.9773334785893598,0.9604890000000001,0.9436445214106405
2022-12-13,0.9766005636713758,0.9594664999999999,0.942332436328624
2022-12-14,0.9769890439832668,0.9582455,0.9395019560167331
2022-12-15,0.9779487079919643,0.956978,0.9360072920080357
2022-12-16,0.9776522197006864,0.9557134999999999,0.9337747802993134
2022-12-19,0.9762169993990573,0.9545515,0.9328860006009427
2022-12-20,0.9726769976065996,0.9528554999999999,0.9330340023934001
2022-12-21,0.9702042364344673,0.9514140000000001,0.9326237635655329
2022-12-22,0.9692692722931091,0.9505370000000001,0.931804727706891
2022-12-23,0.9680132348494157,0.9496525,0.9312917651505843
2022-12-26,0.9660217914988057,0.9482950000000001,0.9305682085011945
2022-12-27,0.9628070351395639,0.9469565,0.9311059648604361
2022-12-28,0.9579530908548258,0.945533,0.9331129091451741
2022-12-29,0.9553873850233601,0.944613,0.93383861497664
2022-12-30,0.9548903850424739,0.9440235000000001,0.9331566149575263
2023-01-02,0.9548714980026278,0.9432905,0.9317095019973722
2023-01-03,0.9535529292973395,0.942484,0.9314150707026605
2023-01-04,0.9518636762049522,0.9421315,0.9323993237950479
2023-01-05,0.9504802496332017,0.9417140000000002,0.9329477503667987
2023-01-06,0.9511894365755376,0.9418825,0.9325755634244624
2023-01-09,0.9497983783913785,0.9412844999999999,0.9327706216086212
2023-01-10,0.9492450317266592,0.9404385,0.9316319682733407
2023-01-11,0.9496660392461741,0.9399464999999999,0.9302269607538257
