Date,BB_UPPER,BB_MIDDLE,BB_LOWER
2022-10-28,,,
2022-10-31,,,
2022-11-01,,,
2022-11-02,,,
2022-11-03,,,
2022-11-04,,,
2022-11-07,,,
2022-11-08,,,
2022-11-09,,,
2022-11-10,,,
2022-11-11,,,
2022-11-14,,,
2022-11-15,,,
2022-11-16,,,
2022-11-17,,,
2022-11-18,,,
2022-11-21,,,
2022-11-22,,,
2022-11-23,,,
2022-11-24,0.8820892287347891,0.8691409999999999,0.8561927712652108
2022-11-25,0.8823180632609746,0.8690110000000001,0.8557039367390256
2022-11-28,0.8821528884217849,0.8690880000000002,0.8560231115782155
2022-11-29,0.8820374795161756,0.8692225,0.8564075204838244
2022-11-30,0.881704527431926,0.8694445,0.857184472568074
2022-12-01,0.8816132409173454,0.8695074999999999,0.8574017590826544
2022-12-02,0.8817241868951655,0.868811,0.8558978131048345
2022-12-05,0.8812624489012822,0.8678725,0.8544825510987178
2022-12-06,0.8811378925355217,0.8674265,0.8537151074644783
2022-12-07,0.8805822988231982,0.86693,0.8532777011768018
2022-12-08,0.8780077217519423,0.865901,0.8537942782480578
2022-12-09,0.8773781760032265,0.8654740000000001,0.8535698239967736
2022-12-12,0.875946604566165,0.864659,0.8533713954338349
2022-12-13,0.8733398115769683,0.8637075000000001,0.8540751884230319
2022-12-14,0.8720853581025447,0.8631175000000001,0.8541496418974555
2022-12-15,0.8704853851432444,0.8624839999999999,0.8544826148567555
2022-12-16,0.8702122845936413,0.8624425,0.8546727154063587
2022-12-19,0.8705313333406223,0.8625079999999998,0.8544846666593774
2022-12-20,0.8719908179163988,0.862843,0.8536951820836013
2022-12-21,0.8728596184337839,0.863075,0.8532903815662162
2022-12-22,0.8757684326526006,0.8638585000000001,0.8519485673473995
2022-12-23,0.8786783219674231,0.8649149999999999,0.8511516780325766
2022-12-26,0.8807905502932243,0.8658699999999999,0.8509494497067756
2022-12-27,0.8828588739955712,0.86664,0.8504211260044288
2022-12-28,0.8856384054466782,0.8676524999999999,0.8496665945533217
2022-12-29,0.8878684816445003,0.8686820000000001,0.8494955183554999
2022-12-30,0.8897079590879612,0.8699479999999999,0.8501880409120387
2023-01-02,0.891085708144719,0.8712865000000001,0.8514872918552812
2023-01-03,0.8925785915022032,0.8724985000000001,0.8524184084977969
2023-01-04,0.893259562051478,0.873413,0.8535664379485219
2023-01-05,0.8934290384798292,0.8743505,0.8552719615201708
2023-01-06,0.8940283048792049,0.8753740000000001,0.8567196951207953
2023-01-09,0.8934436390092436,0.8763960000000001,0.8593483609907565
2023-01-10,0.8925026611979063,0.8774789999999999,0.8624553388020935
2023-01-11,0.8914267841732694,0.8786529999999999,0.8658792158267304
