Date,BB_UPPER,BB_MIDDLE,BB_LOWER
2022-10-28,,,
2022-10-31,,,
2022-11-01,,,
2022-11-02,,,
2022-11-03,,,
2022-11-04,,,
2022-11-07,,,
2022-11-08,,,
2022-11-09,,,
2022-11-10,,,
2022-11-11,,,
2022-11-14,,,
2022-11-15,,,
2022-11-16,,,
2022-11-17,,,
2022-11-18,,,
2022-11-21,,,
2022-11-22,,,
2022-11-23,,,
2022-11-24,1.0230200301596495,0.9726955,0.9223709698403505
2022-11-25,1.0215669744188371,0.9703419999999999,0.9191170255811627
2022-11-28,1.0185524472998277,0.9678905,0.9172285527001722
2022-11-29,1.0140217271737804,0.9652594999999999,0.9164972728262195
2022-11-30,1.0091591767764005,0.9629899999999999,0.9168208232235993
2022-12-01,1.0027937159824507,0.9600199999999999,0.917246284017549
2022-12-02,0.9920064159844049,0.9561684999999999,0.9203305840155949
2022-12-05,0.9844815412041025,0.953154,0.9218264587958974
2022-12-06,0.9775583731898029,0.950825,0.9240916268101972
2022-12-07,0.9704752339422558,0.948704,0.9269327660577442
2022-12-08,0.961184656693315,0.9465425,0.9319003433066849
2022-12-09,0.9576800645874357,0.9450900000000001,0.9324999354125645
2022-12-12,0.958012117667953,0.944637,0.9312618823320469
2022-12-13,0.9582116802825118,0.9442639999999999,0.930316319717488
2022-12-14,0.9591009584551852,0.9435675,0.9280340415448148
2022-12-15,0.9603051133701184,0.942566,0.9248268866298817
2022-12-16,0.9595744207019047,0.941314,0.9230535792980953
2022-12-19,0.9579518323244771,0.9403765,0.9228011676755228
2022-12-20,0.955001948097268,0.9388915000000001,0.9227810519027322
2022-12-21,0.9536357743984679,0.9376464999999999,0.921657225601532
2022-12-22,0.953618265729183,0.9369265,0.920234734270817
2022-12-23,0.952910950403627,0.936308,0.919705049596373
2022-12-26,0.9513978818655432,0.9355829999999999,0.9197681181344567
2022-12-27,0.9493423984702012,0.934744,0.9201456015297989
2022-12-28,0.9449929143015232,0.9334884999999999,0.9219840856984767
2022-12-29,0.9433521891405969,0.9326800000000001,0.9220078108594032
2022-12-30,0.9433788971421827,0.9320030000000001,0.9206271028578176
2023-01-02,0.9431063173756126,0.9313705000000001,0.9196346826243876
2023-01-03,0.9414324183193427,0.9304555000000001,0.9194785816806575
2023-01-04,0.9400381181889488,0.930144,0.9202498818110512
2023-01-05,0.9382801229275596,0.92961,0.9209398770724405
2023-01-06,0.9382740792772655,0.9296085,0.9209429207227344
2023-01-09,0.937561930539661,0.9292025,0.9208430694603391
2023-01-10,0.9370048815550261,0.928462,0.9199191184449739
2023-01-11,0.9371025450870226,0.928125,0.9191474549129773
2023-01-12,0.9373296733694346,0.9284535,0.9195773266305655
2023-01-13,0.9373183377538473,0.9284315,0.9195446622461526
2023-01-16,0.9364636709962375,0.9280385000000001,0.9196133290037627
2023-01-17,0.936371038749098,0.9278715,0.9193719612509019
2023-01-18,0.9365412369633722,0.9276580000000001,0.918774763036628
2023-01-19,0.9374502646859715,0.92714,0.9168297353140284
2023-01-20,0.9377298571899265,0.926365,0.9150001428100735
2023-01-23,0.9369970946521224,0.9257155000000001,0.9144339053478778
2023-01-24,0.9362100045580355,0.9251984999999999,0.9141869954419644
2023-01-25,0.935769077039503,0.9248535,0.913937922960497
2023-01-26,0.9356876014603298,0.9243165,0.9129453985396702
2023-01-27,0.9356880320620327,0.924184,0.9126799679379674
2023-01-30,0.9356364321095139,0.924037,0.9124375678904861
2023-01-31,0.9357136897922311,0.924101,0.9124883102077688
2023-02-01,0.9338470172450708,0.9231235,0.9123999827549292
2023-02-02,0.9344134857401734,0.922007,0.9096005142598267
2023-02-03,0.9320394107937408,0.9208755,0.9097115892062592
2023-02-06,0.9319538259389629,0.9208485,0.909743174061037
2023-02-07,0.9327366929968071,0.9211955,0.9096543070031928
2023-02-08,0.9326989649266819,0.921166,0.9096330350733182
2023-02-09,0.9312456113813693,0.9206654999999999,0.9100853886186305
2023-02-10,0.9305541911661914,0.9204042000000001,0.9102542088338088
2023-02-13,0.930103897130716,0.9202577,0.910411502869284
2023-02-14,0.9294839489107866,0.9199191999999998,0.9103544510892131
2023-02-15,0.9294488512348135,0.9198996999999999,0.9103505487651863
2023-02-16,0.9297483913267045,0.9202707,0.9107930086732955
2023-02-17,0.9304017802893254,0.9208187000000001,0.9112356197106748
2023-02-20,0.9308724318443252,0.9210916999999998,0.9113109681556745
2023-02-21,0.9309899497404358,0.9211672,0.9113444502595641
2023-02-22,0.931643591156015,0.9214271999999999,0.9112108088439848
2023-02-23,0.9330182224172104,0.9221407000000001,0.9112631775827899
2023-02-24,0.9348024156040053,0.9228152,0.9108279843959945
2023-02-27,0.9379655838347489,0.9237736999999999,0.9095818161652509
2023-02-28,0.939430879500744,0.9242897000000001,0.9091485204992562
2023-03-01,0.9421172391104867,0.9255706,0.9090239608895133
2023-03-02,0.9424440551929205,0.9271811,0.9119181448070794
2023-03-03,0.9437333839722656,0.9286145999999998,0.9134958160277341
2023-03-06,0.9446439160076532,0.9291381,0.9136322839923467
2023-03-07,0.9447876495185221,0.9292790999999999,0.9137705504814777
2023-03-08,0.9464051254708924,0.9303081000000001,0.9142110745291078
2023-03-09,0.9474247518686639,0.9313061000000001,0.9151874481313363
2023-03-10,0.947365482142513,0.9318498999999999,0.9163343178574868
2023-03-13,0.947854165396135,0.9315804,0.915306634603865
2023-03-14,0.948760927608616,0.9312739500000001,0.9137869723913843
2023-03-15,0.949483717679882,0.9309224500000001,0.9123611823201181
2023-03-16,0.9495230766840046,0.9313059499999999,0.9130888233159953
